xvalue,counts
1,267
2,198
3,153
4,160
5,142
6,119
7,125
8,129
9,127
10,120
11,150
12,126
13,126
14,111
15,118
16,118
17,142
18,105
19,106
20,103
21,118
22,101
23,105
24,107
25,103
26,103
27,104
28,79
29,117
30,96
31,99
32,81
33,90
34,81
35,113
36,92
37,68
38,83
39,84
40,89
41,90
42,66
43,67
44,99
45,92
46,84
47,67
48,86
49,75
50,67
51,73
52,86
53,67
54,73
55,56
56,65
57,64
58,47
59,67
60,69
61,67
62,70
63,60
64,49
65,57
66,57
67,52
68,59
69,44
70,45
71,42
72,53
73,58
74,58
75,64
76,50
77,50
78,49
79,39
80,36
81,36
82,40
83,44
84,55
85,37
86,37
87,38
88,31
89,38
90,37
91,36
92,38
93,29
94,28
95,21
96,38
97,28
98,27
99,19
100,30
101,28
102,29
103,18
104,26
105,32
106,25
107,20
108,29
109,13
110,28
111,29
112,23
113,11
114,29
115,24
116,24
117,22
118,18
119,17
120,11
121,12
122,10
123,17
124,14
125,17
126,11
127,13
128,16
129,12
130,12
131,16
132,15
133,17
134,23
135,13
136,8
137,10
138,14
139,10
140,10
141,11
142,11
143,5
144,10
145,11
146,10
147,15
148,8
149,12
150,6
151,9
152,5
153,2
154,5
155,6
156,7
157,8
158,8
159,5
160,4
161,8
162,7
163,5
164,6
165,6
166,6
167,5
168,5
169,5
170,3
171,4
172,4
173,4
174,3
175,1
176,5
177,5
178,4
179,1
180,2
181,1
182,1
183,3
184,3
185,4
186,1
187,3
188,1
189,4
190,6
191,4
193,3
194,6
195,5
196,4
197,1
198,4
199,1
200,1
201,3
202,3
203,5
204,1
205,1
206,5
207,1
208,1
209,2
210,1
211,4
212,3
213,4
214,4
215,2
216,3
217,1
218,3
219,2
220,2
221,3
222,1
223,1
224,2
225,1
226,1
230,1
231,1
233,1
234,1
235,1
236,1
237,1
238,1
240,2
241,1
244,1
245,1
246,1
247,1
249,1
256,1
258,3
261,1
262,1
264,2
269,1
272,1
276,3
281,1
290,1
293,1
311,1
315,1
323,1
329,1
400,1
454,1
