xvalue,counts
1,437
2,281
3,285
4,240
5,250
6,234
7,220
8,222
9,223
10,193
11,204
12,188
13,187
14,186
15,188
16,185
17,178
18,177
19,171
20,169
21,173
22,163
23,166
24,143
25,148
26,128
27,150
28,136
29,146
30,149
31,136
32,132
33,128
34,127
35,113
36,129
37,126
38,141
39,129
40,124
41,107
42,127
43,104
44,104
45,125
46,101
47,102
48,108
49,121
50,98
51,85
52,92
53,99
54,100
55,101
56,98
57,106
58,87
59,92
60,89
61,102
62,79
63,95
64,89
65,100
66,96
67,62
68,86
69,84
70,91
71,79
72,91
73,77
74,81
75,70
76,63
77,89
78,80
79,70
80,67
81,64
82,75
83,68
84,67
85,70
86,67
87,75
88,68
89,62
90,58
91,67
92,64
93,64
94,51
95,49
96,46
97,75
98,53
99,60
100,50
101,46
102,60
103,40
104,42
105,51
106,50
107,60
108,34
109,42
110,42
111,64
112,49
113,47
114,57
115,41
116,41
117,39
118,37
119,47
120,27
121,33
122,35
123,31
124,38
125,30
126,31
127,36
128,35
129,36
130,35
131,34
132,32
133,29
134,29
135,31
136,31
137,25
138,22
139,13
140,27
141,27
142,20
143,20
144,31
145,19
146,23
147,20
148,20
149,22
150,17
151,21
152,17
153,16
154,21
155,15
156,17
157,21
158,20
159,22
160,12
161,18
162,14
163,14
164,17
165,11
166,14
167,15
168,10
169,16
170,16
171,12
172,13
173,17
174,9
175,12
176,10
177,11
178,9
179,11
180,17
181,10
182,10
183,6
184,8
185,6
186,14
187,8
188,9
189,15
190,18
191,9
192,8
193,8
194,6
195,10
196,5
197,4
198,3
199,8
200,7
201,3
202,9
203,8
204,6
205,9
206,9
207,5
208,3
209,8
210,13
211,6
212,9
213,8
214,5
215,4
216,3
217,1
218,6
219,10
220,3
221,7
222,9
223,8
224,6
225,2
226,4
227,6
228,6
229,3
230,1
231,1
232,2
233,3
234,6
235,4
236,5
237,3
238,3
239,1
240,3
241,2
242,4
243,1
244,3
245,2
246,2
247,2
248,2
249,8
250,3
251,4
252,3
253,4
254,4
255,1
256,4
257,1
258,3
259,4
260,5
261,6
262,4
263,3
264,2
265,3
266,2
267,3
268,4
271,2
272,2
273,1
274,3
275,2
276,3
277,1
278,3
279,4
280,5
281,3
282,2
283,1
284,2
285,2
286,1
287,4
288,1
289,3
290,4
291,3
293,1
295,1
298,2
303,5
305,2
309,1
311,1
312,1
313,1
317,3
319,1
321,3
323,1
324,1
327,1
329,3
332,1
333,2
334,1
335,1
336,1
341,1
342,1
349,3
351,1
352,1
356,1
358,2
362,1
363,1
365,1
366,1
367,1
381,1
385,1
387,1
389,2
398,1
404,1
408,1
409,1
413,1
414,1
421,1
424,1
429,1
431,1
435,1
488,1
489,1
555,1
567,1
590,1
801,1
1262,1
2165,1
