xvalue,counts
1,261
2,156
3,147
4,121
5,103
6,100
7,87
8,79
9,93
10,86
11,76
12,87
13,66
14,76
15,67
16,80
17,63
18,68
19,56
20,57
21,57
22,43
23,46
24,49
25,55
26,53
27,44
28,54
29,52
30,52
31,55
32,53
33,49
34,57
35,40
36,46
37,54
38,42
39,51
40,47
41,63
42,50
43,44
44,50
45,53
46,39
47,55
48,37
49,40
50,42
51,36
52,50
53,46
54,59
55,40
56,48
57,33
58,51
59,34
60,35
61,38
62,41
63,44
64,41
65,45
66,44
67,37
68,48
69,43
70,39
71,31
72,39
73,39
74,38
75,37
76,35
77,43
78,37
79,31
80,37
81,24
82,36
83,33
84,38
85,29
86,25
87,34
88,30
89,20
90,26
91,27
92,37
93,24
94,34
95,29
96,24
97,21
98,22
99,20
100,26
101,21
102,23
103,25
104,29
105,18
106,28
107,31
108,24
109,20
110,22
111,23
112,20
113,27
114,16
115,18
116,16
117,17
118,26
119,19
120,22
121,22
122,21
123,20
124,16
125,12
126,13
127,18
128,20
129,23
130,12
131,13
132,14
133,14
134,12
135,18
136,21
137,16
138,15
139,17
140,8
141,13
142,14
143,13
144,8
145,10
146,9
147,12
148,12
149,10
150,10
151,8
152,10
153,7
154,8
155,6
156,6
157,2
158,8
159,11
160,8
161,8
162,13
163,12
164,11
165,13
166,8
167,8
168,7
169,8
170,7
171,13
172,9
173,2
174,3
175,6
176,4
177,6
178,7
179,14
180,3
181,8
182,7
183,6
184,1
185,7
186,4
187,6
188,8
189,5
190,5
191,5
192,7
193,3
194,5
195,4
196,3
197,2
198,2
199,8
200,7
201,1
202,1
203,4
204,2
205,1
206,2
207,1
208,5
209,4
210,3
211,3
212,1
213,2
214,3
215,3
216,3
217,2
218,2
219,3
220,6
221,6
222,1
223,1
224,2
225,3
226,3
227,2
228,4
229,2
230,2
231,5
232,1
233,3
235,2
236,3
237,2
239,2
241,1
242,3
243,2
244,1
245,1
246,1
247,3
248,1
249,2
252,3
254,3
257,2
258,1
259,1
261,1
264,1
265,1
266,5
270,1
272,2
273,1
275,1
278,1
280,1
281,1
282,1
283,1
285,1
289,1
290,1
291,1
292,2
297,1
298,2
301,1
304,1
306,2
309,3
310,1
311,1
313,1
315,2
318,2
322,1
323,1
326,1
328,1
340,1
342,1
350,1
353,1
359,1
361,1
363,1
364,2
380,1
392,1
397,1
399,1
402,1
416,1
433,1
434,1
435,1
445,1
474,1
492,1
529,1
551,1
653,1
970,1
1624,1
