xvalue,counts
1,605
2,429
3,370
4,362
5,358
6,308
7,317
8,347
9,274
10,300
11,344
12,337
13,291
14,302
15,334
16,292
17,297
18,345
19,324
20,299
21,287
22,329
23,313
24,339
25,294
26,343
27,293
28,288
29,322
30,307
31,274
32,284
33,304
34,307
35,267
36,310
37,290
38,286
39,291
40,281
41,294
42,281
43,265
44,291
45,249
46,257
47,267
48,268
49,233
50,249
51,246
52,272
53,253
54,226
55,249
56,241
57,227
58,229
59,219
60,225
61,213
62,215
63,223
64,230
65,187
66,208
67,207
68,199
69,211
70,214
71,196
72,204
73,214
74,196
75,184
76,166
77,169
78,186
79,174
80,177
81,169
82,148
83,170
84,157
85,167
86,178
87,184
88,161
89,147
90,148
91,163
92,156
93,154
94,133
95,122
96,133
97,125
98,135
99,150
100,135
101,125
102,105
103,134
104,128
105,115
106,126
107,148
108,126
109,107
110,102
111,117
112,91
113,107
114,100
115,127
116,108
117,111
118,123
119,117
120,110
121,93
122,94
123,84
124,103
125,104
126,86
127,82
128,103
129,94
130,77
131,82
132,96
133,97
134,90
135,86
136,92
137,69
138,63
139,76
140,77
141,79
142,71
143,70
144,83
145,68
146,69
147,86
148,62
149,67
150,89
151,63
152,74
153,70
154,66
155,58
156,67
157,61
158,61
159,55
160,57
161,56
162,61
163,60
164,54
165,49
166,45
167,52
168,40
169,59
170,59
171,61
172,46
173,42
174,47
175,50
176,45
177,40
178,54
179,43
180,49
181,52
182,53
183,40
184,33
185,52
186,40
187,33
188,51
189,45
190,55
191,38
192,34
193,37
194,46
195,41
196,32
197,42
198,36
199,33
200,30
201,40
202,36
203,35
204,41
205,37
206,35
207,39
208,40
209,29
210,28
211,43
212,32
213,31
214,16
215,30
216,31
217,27
218,26
219,25
220,29
221,21
222,17
223,21
224,39
225,31
226,28
227,27
228,29
229,35
230,27
231,14
232,23
233,18
234,25
235,35
236,21
237,27
238,26
239,23
240,15
241,19
242,19
243,24
244,18
245,18
246,15
247,17
248,26
249,21
250,10
251,25
252,19
253,23
254,23
255,20
256,23
257,20
258,17
259,16
260,21
261,18
262,15
263,14
264,18
265,17
266,21
267,16
268,14
269,20
270,16
271,23
272,22
273,19
274,12
275,13
276,10
277,18
278,14
279,16
280,14
281,12
282,9
283,14
284,10
285,16
286,11
287,6
288,7
289,12
290,19
291,15
292,13
293,7
294,13
295,8
296,8
297,10
298,6
299,12
300,7
301,12
302,5
303,10
304,11
305,2
306,14
307,11
308,14
309,10
310,10
311,11
312,13
313,6
314,4
315,11
316,10
317,11
318,11
319,9
320,9
321,7
322,7
323,8
324,8
325,6
326,3
327,7
328,6
329,12
330,8
331,4
332,10
333,9
334,10
335,2
336,4
337,7
338,5
339,8
340,6
341,6
342,5
343,5
344,6
345,5
346,1
347,4
348,2
349,7
350,7
351,4
352,6
353,6
354,3
355,5
356,8
357,8
358,1
359,1
360,10
361,6
362,6
363,6
364,5
365,7
366,1
367,2
368,5
369,2
370,8
371,3
372,5
373,6
374,7
375,5
376,2
377,4
378,4
379,7
380,7
381,2
382,2
383,3
384,5
385,4
386,7
387,6
388,2
389,6
390,1
391,3
392,2
393,1
394,8
395,1
396,4
397,3
398,2
399,3
400,3
401,4
403,1
404,5
405,3
406,1
407,2
409,4
410,5
411,1
412,3
413,1
414,4
415,1
416,5
417,4
418,5
419,1
420,2
421,5
422,2
424,5
425,1
426,3
427,1
428,1
430,2
431,4
432,2
433,2
434,3
435,1
436,3
437,3
438,2
442,2
443,1
444,4
445,1
446,2
447,2
448,1
450,2
451,1
453,3
454,2
455,2
457,2
458,1
464,5
465,3
466,1
469,1
470,3
471,1
473,1
476,1
478,2
479,2
480,1
482,2
483,1
484,1
485,2
486,1
487,3
489,1
491,1
492,1
495,2
496,2
499,4
502,1
504,1
506,2
507,1
508,1
510,1
512,1
514,1
515,1
517,3
520,3
524,1
525,1
526,1
527,2
528,1
529,3
530,2
534,2
535,2
536,1
539,1
540,1
541,1
543,1
547,1
550,1
552,1
554,1
555,1
560,1
564,1
566,2
569,2
570,1
580,1
582,1
585,1
590,2
594,1
595,2
599,1
603,1
608,1
613,1
620,1
628,1
633,1
646,1
653,1
655,1
660,1
661,1
694,1
695,1
696,1
701,1
734,1
745,1
746,1
752,1
755,1
759,1
802,1
818,1
821,1
825,1
838,1
870,1
882,1
889,1
1467,1
1538,1
1544,1
1803,1
2055,1
2345,1
2694,1
4192,1
5281,1
8246,1
