xvalue,counts
1,417
2,250
3,203
4,179
5,158
6,169
7,168
8,161
9,143
10,170
11,162
12,175
13,171
14,188
15,147
16,166
17,188
18,173
19,160
20,154
21,170
22,187
23,170
24,191
25,189
26,174
27,189
28,200
29,175
30,187
31,172
32,199
33,191
34,181
35,184
36,177
37,184
38,164
39,160
40,163
41,162
42,152
43,148
44,177
45,181
46,167
47,183
48,157
49,165
50,154
51,163
52,133
53,170
54,170
55,148
56,155
57,158
58,138
59,155
60,138
61,132
62,165
63,130
64,136
65,148
66,134
67,145
68,155
69,146
70,144
71,124
72,152
73,125
74,126
75,124
76,127
77,141
78,122
79,125
80,129
81,131
82,110
83,115
84,129
85,107
86,115
87,137
88,112
89,107
90,101
91,104
92,130
93,97
94,102
95,126
96,85
97,115
98,98
99,95
100,103
101,99
102,93
103,99
104,94
105,96
106,102
107,105
108,113
109,98
110,107
111,93
112,82
113,87
114,99
115,94
116,104
117,88
118,92
119,76
120,87
121,88
122,87
123,104
124,90
125,67
126,84
127,87
128,81
129,79
130,69
131,71
132,81
133,75
134,67
135,64
136,68
137,70
138,49
139,63
140,57
141,62
142,53
143,65
144,67
145,61
146,53
147,76
148,58
149,51
150,69
151,59
152,56
153,50
154,52
155,53
156,60
157,64
158,47
159,50
160,64
161,53
162,35
163,39
164,44
165,47
166,35
167,55
168,50
169,50
170,41
171,49
172,49
173,50
174,45
175,50
176,34
177,52
178,34
179,51
180,48
181,31
182,47
183,32
184,37
185,38
186,45
187,48
188,36
189,29
190,51
191,31
192,39
193,31
194,37
195,34
196,31
197,29
198,34
199,30
200,34
201,33
202,39
203,28
204,33
205,40
206,32
207,26
208,25
209,26
210,28
211,30
212,34
213,22
214,36
215,30
216,22
217,18
218,27
219,29
220,24
221,32
222,25
223,28
224,32
225,32
226,29
227,29
228,31
229,24
230,23
231,27
232,22
233,29
234,17
235,23
236,17
237,25
238,21
239,21
240,14
241,32
242,17
243,22
244,24
245,16
246,21
247,29
248,14
249,19
250,19
251,14
252,14
253,17
254,14
255,16
256,14
257,17
258,18
259,15
260,21
261,21
262,23
263,16
264,12
265,16
266,17
267,10
268,12
269,15
270,11
271,17
272,8
273,13
274,7
275,9
276,10
277,15
278,12
279,7
280,9
281,13
282,5
283,6
284,14
285,14
286,13
287,15
288,8
289,7
290,8
291,16
292,12
293,19
294,8
295,10
296,10
297,8
298,10
299,9
300,14
301,9
302,10
303,6
304,10
305,10
306,11
307,9
308,10
309,5
310,10
311,6
312,15
313,13
314,8
315,4
316,8
317,7
318,5
319,11
320,16
321,10
322,8
323,4
324,3
325,7
326,7
327,6
328,5
329,9
330,10
331,6
332,15
333,4
334,6
335,8
336,6
337,7
338,6
339,6
340,3
341,5
342,7
343,5
344,7
345,5
346,5
347,12
348,9
349,4
350,6
351,2
352,4
353,8
354,8
355,5
356,5
357,3
358,9
359,3
360,5
361,4
362,7
363,3
364,4
365,2
366,2
367,3
368,4
369,7
370,3
371,4
372,3
373,4
374,8
376,5
377,2
378,4
379,5
380,6
381,3
382,5
383,5
384,3
385,5
386,13
387,1
389,3
390,4
391,1
392,5
393,4
394,4
395,4
396,4
397,4
398,5
399,2
400,3
401,5
403,2
404,1
406,2
407,4
408,2
409,3
410,3
411,3
412,3
413,1
414,5
415,1
416,3
417,1
418,2
419,2
420,3
421,4
422,2
424,3
426,2
427,1
428,3
429,1
430,2
431,1
433,5
434,3
435,1
436,2
437,2
439,1
440,2
441,3
443,2
447,2
450,1
451,1
452,1
454,1
456,2
457,1
458,2
459,2
460,2
462,1
463,1
466,2
467,3
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,2
478,2
479,2
481,1
482,1
483,1
484,3
486,1
487,2
488,1
492,1
493,1
494,1
495,1
497,3
501,3
502,3
505,2
506,1
507,1
509,2
510,1
512,2
513,1
517,1
521,1
523,1
524,1
526,1
527,1
529,1
532,1
536,1
537,1
539,1
540,1
542,2
544,1
546,1
547,1
548,1
550,1
555,1
561,1
562,1
563,1
566,1
571,1
573,1
580,1
581,1
589,1
606,1
610,1
611,1
615,1
620,1
622,1
625,1
628,1
636,1
645,1
666,1
676,1
683,1
686,1
694,1
707,1
713,1
755,1
785,1
821,1
829,1
844,1
860,1
1010,1
1072,1
1088,1
1146,1
1207,1
1443,1
2926,1
