xvalue,counts
1,598
2,416
3,287
4,269
5,282
6,286
7,239
8,251
9,301
10,239
11,251
12,267
13,245
14,276
15,247
16,261
17,268
18,248
19,262
20,251
21,245
22,261
23,252
24,261
25,248
26,264
27,266
28,245
29,232
30,266
31,255
32,262
33,244
34,250
35,263
36,232
37,261
38,228
39,256
40,243
41,240
42,251
43,237
44,226
45,224
46,224
47,208
48,211
49,202
50,216
51,240
52,243
53,237
54,229
55,206
56,183
57,195
58,194
59,180
60,193
61,195
62,206
63,205
64,199
65,173
66,192
67,206
68,176
69,160
70,180
71,175
72,146
73,169
74,163
75,151
76,174
77,192
78,182
79,150
80,178
81,145
82,156
83,148
84,148
85,170
86,125
87,136
88,160
89,158
90,153
91,136
92,154
93,130
94,126
95,129
96,118
97,110
98,133
99,121
100,137
101,111
102,131
103,120
104,115
105,126
106,98
107,135
108,96
109,107
110,105
111,119
112,104
113,99
114,120
115,108
116,115
117,93
118,100
119,98
120,115
121,106
122,93
123,94
124,95
125,88
126,95
127,83
128,81
129,85
130,94
131,61
132,85
133,90
134,86
135,82
136,63
137,72
138,79
139,86
140,68
141,86
142,74
143,69
144,61
145,74
146,57
147,71
148,70
149,76
150,73
151,78
152,66
153,66
154,55
155,63
156,58
157,53
158,51
159,57
160,65
161,80
162,54
163,60
164,56
165,70
166,65
167,53
168,43
169,52
170,48
171,57
172,45
173,41
174,50
175,54
176,49
177,40
178,42
179,50
180,41
181,33
182,36
183,38
184,39
185,52
186,56
187,35
188,52
189,40
190,44
191,31
192,32
193,37
194,28
195,40
196,32
197,42
198,32
199,34
200,42
201,37
202,38
203,21
204,40
205,31
206,24
207,25
208,38
209,40
210,25
211,36
212,32
213,29
214,25
215,32
216,30
217,28
218,30
219,36
220,27
221,26
222,22
223,29
224,24
225,23
226,25
227,28
228,21
229,29
230,21
231,17
232,25
233,25
234,25
235,32
236,26
237,20
238,16
239,16
240,24
241,13
242,11
243,16
244,19
245,13
246,12
247,16
248,19
249,17
250,16
251,11
252,17
253,19
254,14
255,16
256,7
257,19
258,23
259,12
260,11
261,11
262,16
263,15
264,14
265,16
266,14
267,14
268,14
269,8
270,11
271,11
272,9
273,14
274,15
275,16
276,15
277,10
278,13
279,10
280,16
281,5
282,10
283,2
284,7
285,6
286,10
287,9
288,6
289,6
290,9
291,10
292,9
293,13
294,9
295,6
296,7
297,9
298,10
299,7
300,6
301,8
302,8
303,4
304,5
305,4
306,7
307,10
308,12
309,4
310,5
311,4
312,7
313,4
314,2
315,6
316,5
317,5
318,8
319,6
320,6
321,6
322,4
323,7
324,5
325,3
326,4
327,6
328,6
329,7
330,7
331,2
332,2
333,3
334,5
335,7
336,5
337,4
338,2
339,5
340,2
341,3
342,2
343,5
344,4
345,1
346,3
347,5
348,5
349,3
350,3
351,3
352,5
353,3
354,5
355,7
357,2
358,5
362,2
363,4
364,4
365,2
366,4
367,1
369,1
370,3
371,5
372,3
373,4
376,1
377,1
379,2
380,2
382,1
383,2
384,2
385,1
386,1
387,2
388,2
389,2
390,2
391,2
392,4
393,3
394,1
395,3
397,4
398,2
399,1
401,2
402,1
404,1
406,1
407,1
408,2
409,2
412,2
413,2
415,1
416,1
417,1
418,2
419,1
420,2
423,1
424,3
427,2
430,2
431,1
432,1
433,1
438,3
440,1
442,2
443,1
445,3
446,1
448,2
449,2
451,2
462,1
465,1
467,2
468,1
469,3
472,1
474,1
478,1
479,1
480,1
482,2
483,2
484,1
485,1
492,1
494,1
498,2
503,1
504,1
514,1
517,1
522,1
524,1
530,1
536,1
537,1
538,1
540,1
547,1
559,1
564,1
567,1
581,1
585,2
599,1
610,1
612,1
630,1
685,1
686,1
766,1
772,1
833,1
841,1
851,1
869,1
929,1
930,1
1007,1
1083,1
1088,1
1446,1
1487,1
4632,1
