xvalue,counts
1,346
2,238
3,222
4,186
5,172
6,197
7,174
8,158
9,191
10,183
11,178
12,162
13,182
14,153
15,179
16,177
17,157
18,150
19,180
20,159
21,171
22,172
23,155
24,164
25,158
26,149
27,139
28,149
29,171
30,161
31,163
32,150
33,149
34,145
35,155
36,149
37,154
38,168
39,126
40,147
41,138
42,142
43,148
44,124
45,138
46,157
47,141
48,120
49,144
50,127
51,134
52,139
53,134
54,134
55,127
56,134
57,122
58,161
59,143
60,118
61,120
62,117
63,146
64,116
65,119
66,121
67,111
68,100
69,103
70,101
71,130
72,85
73,104
74,90
75,113
76,106
77,94
78,109
79,85
80,101
81,100
82,89
83,86
84,107
85,98
86,85
87,87
88,86
89,95
90,79
91,81
92,74
93,91
94,75
95,63
96,80
97,60
98,60
99,59
100,62
101,78
102,70
103,60
104,50
105,62
106,69
107,52
108,54
109,53
110,58
111,64
112,47
113,62
114,51
115,50
116,41
117,43
118,46
119,41
120,45
121,65
122,39
123,39
124,34
125,54
126,38
127,34
128,45
129,46
130,39
131,40
132,26
133,32
134,27
135,37
136,31
137,51
138,27
139,34
140,21
141,27
142,26
143,31
144,32
145,26
146,23
147,29
148,29
149,30
150,24
151,23
152,18
153,24
154,28
155,14
156,17
157,19
158,19
159,16
160,18
161,19
162,20
163,18
164,23
165,18
166,19
167,10
168,9
169,15
170,14
171,11
172,10
173,11
174,11
175,5
176,12
177,16
178,10
179,13
180,15
181,12
182,18
183,9
184,11
185,18
186,4
187,4
188,11
189,13
190,12
191,7
192,11
193,10
194,6
195,6
196,5
197,7
198,7
199,7
200,3
201,9
202,1
203,9
204,3
205,10
206,7
207,4
208,15
209,4
210,4
211,3
212,4
213,8
214,5
215,5
216,9
217,5
218,3
219,10
220,3
221,6
222,10
223,7
224,3
225,5
226,3
227,2
228,6
229,5
230,7
231,2
232,5
233,6
234,8
235,1
236,5
237,1
238,5
239,1
240,2
241,2
242,3
243,1
244,2
245,1
246,4
247,3
248,2
249,3
250,1
251,2
252,3
254,3
255,3
256,3
258,3
259,3
261,2
262,2
263,4
264,2
266,1
267,1
268,1
269,2
270,3
271,4
272,1
273,2
274,1
275,1
276,3
277,1
278,1
279,3
281,2
284,1
285,1
286,1
288,3
290,2
291,3
292,1
293,1
295,2
297,1
299,1
300,2
302,1
303,2
307,1
308,1
311,1
312,1
313,2
315,1
316,2
318,2
321,2
322,1
325,1
326,1
327,2
328,2
329,1
330,1
331,1
333,1
337,1
338,2
339,1
342,1
344,1
350,1
356,1
357,1
363,1
365,1
367,1
373,1
376,1
377,1
378,1
381,1
386,1
414,1
419,1
420,1
422,2
449,1
454,1
461,1
464,1
484,1
505,1
535,1
565,1
607,1
642,1
656,1
709,1
833,1
857,1
1247,1
1262,1
3684,1
