xvalue,counts
1,363
2,252
3,208
4,198
5,189
6,169
7,170
8,151
9,160
10,155
11,148
12,128
13,168
14,140
15,155
16,151
17,139
18,153
19,147
20,162
21,145
22,132
23,148
24,130
25,154
26,155
27,158
28,135
29,145
30,140
31,142
32,165
33,158
34,147
35,138
36,143
37,160
38,133
39,162
40,133
41,118
42,138
43,136
44,138
45,126
46,138
47,119
48,141
49,121
50,120
51,108
52,113
53,114
54,112
55,134
56,112
57,110
58,107
59,115
60,118
61,104
62,114
63,107
64,94
65,132
66,94
67,104
68,107
69,104
70,95
71,96
72,102
73,97
74,88
75,97
76,92
77,88
78,103
79,89
80,87
81,88
82,97
83,92
84,76
85,88
86,92
87,94
88,82
89,85
90,77
91,84
92,89
93,88
94,66
95,70
96,88
97,86
98,79
99,57
100,86
101,79
102,66
103,77
104,69
105,67
106,82
107,86
108,53
109,68
110,81
111,60
112,63
113,52
114,61
115,60
116,68
117,75
118,66
119,56
120,66
121,67
122,65
123,55
124,45
125,48
126,57
127,42
128,53
129,60
130,42
131,44
132,60
133,44
134,44
135,49
136,63
137,51
138,45
139,53
140,45
141,47
142,49
143,44
144,47
145,36
146,33
147,51
148,38
149,35
150,37
151,42
152,38
153,47
154,41
155,35
156,38
157,49
158,44
159,40
160,20
161,17
162,31
163,44
164,36
165,29
166,30
167,40
168,30
169,30
170,25
171,32
172,33
173,32
174,38
175,19
176,25
177,30
178,20
179,32
180,25
181,23
182,15
183,21
184,30
185,29
186,25
187,26
188,30
189,18
190,24
191,23
192,21
193,8
194,28
195,27
196,16
197,17
198,13
199,22
200,20
201,23
202,17
203,16
204,14
205,11
206,14
207,20
208,22
209,18
210,16
211,12
212,18
213,18
214,14
215,12
216,11
217,23
218,13
219,18
220,16
221,18
222,12
223,17
224,17
225,10
226,15
227,17
228,13
229,13
230,12
231,14
232,14
233,10
234,15
235,10
236,14
237,9
238,11
239,11
240,11
241,12
242,7
243,9
244,8
245,6
246,12
247,14
248,9
249,10
250,11
251,14
252,3
253,9
254,14
255,11
256,6
257,11
258,4
259,10
260,6
261,8
262,9
263,12
264,7
265,9
266,13
267,9
268,8
269,5
270,3
271,9
272,8
273,11
274,10
275,10
276,8
277,2
278,5
279,8
280,7
281,9
282,8
283,5
284,6
285,9
286,7
287,4
288,7
289,5
290,7
291,7
292,4
293,7
294,3
295,3
296,5
297,3
298,2
299,5
300,3
301,5
302,6
303,7
304,6
305,5
306,1
307,3
308,3
309,4
310,3
311,4
312,4
313,5
315,5
316,6
317,5
318,3
319,3
320,5
321,3
322,4
323,6
324,2
325,1
326,3
327,5
328,1
329,1
331,3
332,4
333,5
334,4
335,1
336,3
337,3
338,3
339,2
340,3
342,3
343,2
344,3
345,1
346,2
347,5
348,1
349,3
351,4
352,3
353,4
354,1
355,1
356,3
359,4
360,3
361,3
362,2
364,4
365,1
366,2
368,3
370,2
371,3
372,4
375,3
378,1
379,3
380,5
381,2
382,1
383,2
385,4
386,1
387,3
388,2
389,2
390,2
391,1
392,1
395,1
398,1
400,1
402,1
404,3
405,1
406,1
407,2
408,3
410,1
411,1
414,1
415,1
419,1
421,1
422,1
424,2
425,1
426,1
427,1
428,1
430,1
432,1
433,2
434,1
437,1
439,1
443,1
450,1
451,4
453,1
454,1
456,1
458,1
459,2
465,1
467,1
468,1
473,1
475,1
476,1
483,1
486,2
488,2
490,1
493,1
500,1
503,1
505,1
507,1
511,1
512,1
517,1
519,1
522,1
528,2
529,2
531,3
540,1
546,1
549,1
551,1
552,1
563,1
564,1
571,1
574,1
575,1
580,1
582,1
585,1
605,1
610,1
611,1
627,2
637,1
638,1
641,1
642,1
654,1
705,1
760,1
763,1
771,1
785,1
893,1
904,1
941,1
949,1
954,1
984,1
991,1
1039,1
1134,1
1144,1
1150,1
1213,1
1344,1
1398,1
1882,1
2417,1
3082,1
3795,1
