xvalue,counts
1,501
2,283
3,235
4,179
5,160
6,134
7,133
8,138
9,124
10,112
11,125
12,112
13,119
14,95
15,81
16,111
17,110
18,109
19,112
20,101
21,101
22,100
23,121
24,104
25,79
26,72
27,101
28,106
29,90
30,81
31,86
32,77
33,104
34,101
35,97
36,89
37,68
38,71
39,100
40,87
41,67
42,93
43,101
44,90
45,88
46,82
47,93
48,92
49,76
50,79
51,71
52,75
53,88
54,85
55,64
56,74
57,83
58,79
59,75
60,81
61,78
62,61
63,65
64,80
65,65
66,74
67,74
68,73
69,70
70,76
71,62
72,79
73,77
74,78
75,56
76,75
77,90
78,69
79,62
80,56
81,62
82,64
83,71
84,86
85,69
86,68
87,83
88,69
89,72
90,71
91,74
92,70
93,60
94,64
95,58
96,53
97,62
98,68
99,63
100,69
101,57
102,72
103,64
104,81
105,61
106,65
107,56
108,53
109,60
110,52
111,65
112,51
113,51
114,58
115,61
116,53
117,53
118,47
119,60
120,45
121,50
122,55
123,57
124,60
125,47
126,52
127,45
128,44
129,45
130,46
131,60
132,59
133,57
134,53
135,53
136,40
137,44
138,33
139,43
140,40
141,56
142,42
143,33
144,37
145,39
146,40
147,42
148,39
149,47
150,40
151,43
152,40
153,27
154,45
155,40
156,39
157,28
158,36
159,38
160,39
161,37
162,22
163,42
164,34
165,31
166,31
167,23
168,37
169,35
170,43
171,33
172,31
173,29
174,33
175,46
176,27
177,29
178,27
179,30
180,31
181,38
182,25
183,30
184,32
185,19
186,25
187,24
188,31
189,25
190,20
191,23
192,14
193,19
194,28
195,30
196,26
197,34
198,28
199,17
200,12
201,12
202,12
203,11
204,12
205,24
206,22
207,25
208,12
209,18
210,21
211,14
212,26
213,25
214,20
215,14
216,27
217,12
218,22
219,14
220,18
221,20
222,19
223,17
224,21
225,14
226,13
227,21
228,17
229,14
230,14
231,8
232,14
233,19
234,14
235,17
236,14
237,15
238,5
239,24
240,11
241,5
242,8
243,13
244,14
245,12
246,12
247,9
248,22
249,9
250,10
251,8
252,7
253,13
254,9
255,10
256,10
257,8
258,14
259,10
260,12
261,6
262,10
263,8
264,14
265,8
266,10
267,6
268,4
269,10
270,6
271,13
272,11
273,2
274,6
275,8
276,7
277,2
278,7
279,7
280,8
281,6
282,8
283,9
284,11
285,7
286,7
287,8
288,10
289,5
290,4
291,7
292,3
293,3
294,5
295,9
296,6
297,6
298,5
299,5
300,5
301,4
302,5
303,8
304,2
305,3
306,10
307,3
308,2
309,5
310,4
311,4
312,4
313,4
314,3
315,4
316,4
317,4
318,3
319,4
320,7
321,5
322,2
323,5
324,5
325,6
326,5
327,3
329,2
331,2
332,2
333,6
334,1
335,3
336,6
337,3
338,2
339,4
340,7
341,3
342,1
343,4
344,3
345,2
348,4
349,1
351,3
352,2
353,3
354,2
355,1
356,5
357,1
358,2
359,4
360,2
361,2
362,1
363,1
364,4
365,3
366,1
367,1
368,2
369,1
370,4
371,1
372,5
373,3
374,3
376,1
377,1
379,1
380,3
382,1
383,3
384,2
385,1
386,3
387,2
388,2
392,2
394,2
396,2
397,1
400,1
404,1
405,1
406,1
408,2
409,1
410,1
412,1
415,1
416,1
417,1
418,1
419,1
421,1
423,2
424,1
425,2
426,2
429,3
431,1
435,1
437,1
438,1
439,1
444,1
450,2
451,1
452,1
454,1
460,2
467,1
472,1
474,1
480,1
482,1
484,2
491,1
492,1
494,1
502,2
503,1
504,1
505,1
507,2
508,1
512,1
515,1
518,1
519,1
524,2
525,1
532,1
540,1
543,3
550,1
559,1
565,1
575,1
597,2
771,1
796,1
899,1
1442,1
1602,1
