xvalue,counts
1,490
2,300
3,262
4,204
5,172
6,200
7,164
8,153
9,163
10,132
11,159
12,128
13,139
14,125
15,112
16,139
17,142
18,116
19,135
20,122
21,144
22,130
23,118
24,135
25,135
26,134
27,128
28,140
29,114
30,121
31,125
32,97
33,119
34,127
35,105
36,113
37,130
38,100
39,97
40,122
41,101
42,97
43,90
44,109
45,106
46,110
47,101
48,105
49,91
50,122
51,111
52,106
53,106
54,106
55,97
56,101
57,114
58,85
59,85
60,77
61,89
62,88
63,86
64,88
65,89
66,89
67,103
68,82
69,77
70,100
71,89
72,100
73,94
74,95
75,95
76,79
77,68
78,76
79,87
80,80
81,68
82,86
83,79
84,90
85,90
86,82
87,80
88,73
89,74
90,70
91,76
92,65
93,63
94,62
95,69
96,77
97,66
98,85
99,56
100,67
101,65
102,73
103,68
104,61
105,59
106,68
107,65
108,56
109,57
110,53
111,60
112,68
113,61
114,52
115,63
116,55
117,55
118,65
119,64
120,57
121,46
122,70
123,50
124,54
125,54
126,54
127,54
128,53
129,46
130,60
131,54
132,45
133,45
134,41
135,42
136,65
137,43
138,46
139,37
140,45
141,43
142,47
143,49
144,51
145,42
146,47
147,50
148,39
149,50
150,36
151,41
152,24
153,34
154,38
155,43
156,46
157,36
158,42
159,36
160,35
161,37
162,35
163,49
164,46
165,34
166,36
167,39
168,27
169,25
170,34
171,38
172,30
173,35
174,36
175,32
176,24
177,23
178,33
179,33
180,30
181,29
182,23
183,20
184,27
185,41
186,29
187,22
188,29
189,34
190,27
191,32
192,33
193,38
194,26
195,28
196,19
197,22
198,17
199,32
200,27
201,24
202,16
203,28
204,24
205,35
206,25
207,22
208,22
209,26
210,21
211,19
212,26
213,15
214,25
215,16
216,14
217,17
218,15
219,17
220,26
221,19
222,19
223,19
224,18
225,18
226,10
227,21
228,22
229,25
230,12
231,17
232,20
233,19
234,15
235,13
236,16
237,9
238,19
239,21
240,18
241,15
242,10
243,16
244,16
245,10
246,12
247,21
248,13
249,11
250,7
251,13
252,8
253,10
254,14
255,17
256,11
257,11
258,11
259,9
260,11
261,19
262,12
263,9
264,13
265,13
266,7
267,10
268,16
269,8
270,19
271,9
272,9
273,8
274,6
275,7
276,6
277,10
278,12
279,13
280,10
281,6
282,13
283,7
284,4
285,7
286,12
287,12
288,7
289,2
290,6
291,15
292,6
293,6
294,6
295,10
296,6
297,4
298,12
299,4
300,10
301,6
302,4
303,10
304,7
305,8
306,4
307,7
308,4
309,9
310,12
311,7
312,9
313,7
314,3
315,2
316,5
317,5
318,5
319,5
320,7
321,5
322,6
323,9
324,5
325,7
326,3
327,2
328,1
329,4
330,5
331,5
332,4
333,4
334,9
335,6
336,5
337,7
338,4
339,4
340,4
341,6
342,1
343,11
344,10
345,2
346,5
347,3
348,3
349,6
350,5
351,6
352,1
353,1
354,2
355,3
356,3
357,5
358,5
359,4
360,7
361,7
362,2
363,2
365,1
366,3
367,2
368,2
369,1
370,1
371,1
372,2
374,2
375,1
376,1
377,1
378,8
379,3
380,3
381,1
382,3
383,2
384,1
385,2
386,5
387,3
388,3
389,1
390,1
391,2
392,4
393,1
394,1
397,3
398,4
399,1
400,2
401,2
402,2
403,1
404,2
406,1
407,4
409,1
410,1
413,1
414,1
415,1
416,4
417,4
418,1
419,2
420,1
422,1
423,1
424,1
425,2
426,1
427,1
429,3
430,1
431,2
434,1
435,2
436,2
437,1
438,4
440,1
441,2
446,2
448,3
449,1
453,1
455,1
456,1
461,3
464,1
465,1
466,1
471,1
472,1
473,1
477,1
478,1
481,1
482,1
486,1
487,1
489,1
498,1
501,1
502,2
503,1
506,1
507,1
510,2
514,1
517,1
520,2
527,1
528,1
532,2
545,1
546,2
547,1
549,1
550,1
563,1
575,1
578,1
597,1
606,1
622,1
662,1
896,1
992,1
1120,1
2508,1
4459,1
