xvalue,counts
1,478
2,386
3,306
4,313
5,245
6,281
7,257
8,291
9,277
10,262
11,267
12,221
13,229
14,226
15,216
16,213
17,210
18,209
19,199
20,219
21,185
22,184
23,153
24,157
25,164
26,160
27,167
28,151
29,157
30,151
31,132
32,124
33,127
34,120
35,134
36,128
37,114
38,113
39,97
40,94
41,97
42,103
43,93
44,104
45,86
46,91
47,91
48,93
49,78
50,85
51,68
52,75
53,68
54,79
55,81
56,78
57,64
58,62
59,73
60,62
61,49
62,68
63,60
64,58
65,62
66,54
67,63
68,50
69,68
70,62
71,50
72,61
73,41
74,69
75,46
76,46
77,52
78,48
79,56
80,55
81,54
82,40
83,37
84,47
85,50
86,32
87,42
88,41
89,36
90,37
91,37
92,44
93,35
94,43
95,43
96,25
97,42
98,24
99,22
100,37
101,39
102,29
103,21
104,25
105,27
106,22
107,25
108,35
109,29
110,30
111,24
112,21
113,21
114,27
115,29
116,28
117,27
118,21
119,19
120,23
121,18
122,22
123,25
124,20
125,16
126,13
127,22
128,14
129,16
130,23
131,13
132,16
133,19
134,14
135,14
136,21
137,12
138,14
139,12
140,15
141,17
142,14
143,17
144,9
145,12
146,9
147,15
148,11
149,15
150,13
151,12
152,11
153,12
154,13
155,13
156,12
157,10
158,9
159,8
160,12
161,13
162,17
163,8
164,7
165,7
166,11
167,5
168,11
169,8
170,12
171,8
172,9
173,5
174,10
175,7
176,8
177,7
178,6
179,5
180,6
181,12
182,5
183,11
184,8
185,7
186,8
187,8
188,8
189,4
190,9
191,2
192,7
193,2
194,7
195,5
196,8
197,7
198,8
199,9
200,5
201,4
202,5
203,5
204,7
205,3
206,8
207,5
208,3
209,2
210,6
211,3
212,3
213,6
214,2
215,5
216,2
217,8
218,4
219,4
220,3
221,3
222,3
223,3
224,5
225,4
226,7
227,2
228,1
229,8
230,4
231,6
232,3
233,3
234,4
235,3
236,2
237,3
238,2
239,3
240,3
241,1
242,3
243,3
244,1
245,2
246,1
248,2
250,4
251,2
252,3
253,4
254,3
255,2
256,4
257,1
258,4
259,2
260,4
261,3
262,4
263,2
264,5
265,6
266,2
267,3
268,2
269,1
270,2
271,1
272,1
273,1
274,1
275,1
276,1
277,2
278,3
279,2
281,3
283,1
284,1
285,1
287,2
288,3
291,2
292,2
293,1
296,1
297,1
302,1
305,2
308,2
310,1
313,1
314,1
315,2
316,1
319,1
320,1
321,1
322,2
325,1
326,1
330,1
331,1
334,1
335,1
339,2
342,1
343,1
344,1
345,1
347,1
351,1
353,1
359,1
367,1
377,1
378,1
381,1
384,1
389,2
390,2
392,1
393,1
416,1
426,1
436,1
438,1
474,1
496,1
507,1
510,1
511,1
522,1
537,1
546,1
597,1
602,1
614,1
619,1
870,1
897,1
