xvalue,counts
1,92
2,61
3,50
4,47
5,42
6,43
7,41
8,39
9,42
10,32
11,39
12,41
13,41
14,40
15,47
16,34
17,33
18,41
19,28
20,35
21,28
22,32
23,32
24,33
25,31
26,32
27,29
28,30
29,29
30,25
31,24
32,20
33,33
34,16
35,33
36,26
37,20
38,35
39,21
40,20
41,17
42,28
43,22
44,26
45,29
46,34
47,30
48,22
49,25
50,26
51,20
52,12
53,22
54,26
55,18
56,11
57,11
58,15
59,23
60,24
61,15
62,14
63,21
64,12
65,20
66,19
67,19
68,22
69,12
70,17
71,18
72,16
73,17
74,17
75,12
76,15
77,12
78,16
79,12
80,16
81,11
82,13
83,6
84,11
85,10
86,14
87,10
88,14
89,8
90,9
91,9
92,7
93,4
94,15
95,11
96,11
97,6
98,5
99,9
100,15
101,11
102,5
103,6
104,9
105,5
106,7
107,8
108,2
109,8
110,7
111,13
112,6
113,7
114,2
115,4
116,4
117,6
118,3
119,6
120,2
121,5
122,6
123,3
124,1
125,5
126,2
127,3
128,5
129,5
131,5
132,6
133,4
134,3
135,5
136,5
137,5
138,2
139,3
140,3
142,3
143,1
144,3
145,5
147,5
148,3
150,1
153,2
154,1
155,4
157,1
158,3
159,1
161,2
162,3
165,2
166,3
167,1
169,1
170,1
172,1
173,2
176,1
177,2
181,1
182,4
183,1
185,1
186,1
188,1
189,1
190,1
191,2
194,2
196,2
199,2
200,1
201,3
202,1
205,3
206,2
207,1
209,1
211,1
213,2
222,1
224,2
230,1
231,1
232,1
240,1
242,2
245,1
248,1
264,1
267,1
271,1
276,1
308,1
313,1
315,1
323,1
325,1
405,1
