xvalue,counts
1,389
2,257
3,196
4,166
5,152
6,158
7,145
8,139
9,124
10,130
11,118
12,106
13,109
14,109
15,98
16,115
17,109
18,109
19,106
20,109
21,110
22,113
23,119
24,136
25,118
26,129
27,129
28,124
29,114
30,152
31,117
32,109
33,123
34,109
35,111
36,121
37,113
38,109
39,119
40,134
41,111
42,141
43,103
44,113
45,124
46,107
47,98
48,120
49,119
50,114
51,119
52,140
53,106
54,113
55,109
56,109
57,99
58,116
59,92
60,89
61,106
62,93
63,98
64,104
65,95
66,109
67,93
68,106
69,102
70,99
71,95
72,89
73,99
74,93
75,95
76,94
77,105
78,100
79,101
80,81
81,76
82,83
83,91
84,86
85,72
86,81
87,87
88,75
89,81
90,68
91,71
92,74
93,83
94,81
95,73
96,73
97,87
98,66
99,75
100,71
101,65
102,64
103,71
104,72
105,62
106,82
107,68
108,54
109,67
110,64
111,80
112,70
113,71
114,69
115,60
116,55
117,58
118,48
119,50
120,50
121,48
122,54
123,73
124,53
125,53
126,58
127,62
128,62
129,44
130,40
131,53
132,62
133,48
134,53
135,49
136,51
137,59
138,70
139,54
140,45
141,41
142,63
143,50
144,54
145,53
146,52
147,45
148,37
149,37
150,41
151,47
152,39
153,61
154,35
155,41
156,47
157,47
158,34
159,44
160,32
161,42
162,36
163,29
164,37
165,45
166,32
167,38
168,24
169,35
170,39
171,32
172,28
173,36
174,41
175,32
176,25
177,29
178,35
179,20
180,23
181,28
182,26
183,22
184,30
185,25
186,27
187,25
188,25
189,21
190,23
191,22
192,22
193,17
194,27
195,19
196,24
197,33
198,21
199,15
200,28
201,25
202,23
203,14
204,26
205,18
206,24
207,19
208,24
209,15
210,23
211,19
212,18
213,18
214,21
215,20
216,23
217,16
218,20
219,20
220,21
221,18
222,18
223,14
224,14
225,20
226,12
227,7
228,23
229,16
230,14
231,20
232,10
233,11
234,16
235,10
236,16
237,15
238,18
239,19
240,7
241,13
242,14
243,12
244,15
245,18
246,10
247,8
248,15
249,15
250,17
251,10
252,12
253,10
254,19
255,16
256,14
257,9
258,8
259,4
260,12
261,10
262,9
263,9
264,19
265,13
266,11
267,9
268,8
269,9
270,4
271,7
272,4
273,7
274,8
275,7
276,7
277,8
278,11
279,5
280,4
281,6
282,12
283,11
284,7
285,8
286,2
287,7
288,5
289,6
290,5
291,7
292,7
293,13
294,6
295,6
296,7
297,3
298,1
299,10
300,4
301,8
302,4
303,7
304,7
305,4
306,8
307,3
308,8
309,3
310,1
311,4
312,4
313,7
314,1
315,4
316,3
317,4
318,9
319,7
320,5
321,9
322,5
323,5
324,3
325,2
326,5
327,3
328,2
329,5
330,5
331,3
332,8
333,3
334,2
335,3
336,1
337,6
338,1
339,3
340,1
341,2
342,2
343,2
344,5
345,1
346,8
347,2
348,2
349,1
350,3
351,4
352,7
353,2
354,4
355,3
357,1
359,2
360,2
361,2
362,2
363,2
364,2
365,1
366,2
367,3
368,1
369,2
370,4
371,2
372,4
373,3
374,2
375,1
376,4
377,1
378,2
379,3
380,1
381,3
382,5
383,1
384,2
385,2
386,3
387,2
389,3
392,1
394,2
395,1
396,1
398,1
400,1
401,2
404,1
405,3
406,4
407,1
408,1
409,2
410,2
411,3
412,1
413,3
414,1
415,1
417,4
419,1
420,1
422,2
423,3
424,1
425,1
427,1
429,2
430,1
433,1
434,2
437,1
438,1
439,2
440,1
441,1
442,1
446,2
449,1
452,2
453,1
456,1
459,1
460,1
461,1
462,1
466,1
467,1
469,1
471,2
472,1
477,1
478,1
479,1
481,1
484,1
486,1
496,1
498,1
505,2
507,1
509,1
512,1
513,1
516,2
519,1
520,1
524,1
526,1
527,1
528,1
539,1
541,1
542,2
548,1
549,1
554,1
558,2
559,1
564,1
575,1
580,1
594,1
621,1
634,1
642,1
648,1
653,1
654,1
661,1
670,1
671,1
686,1
731,1
809,1
825,1
835,1
1583,1
2629,1
3182,1
