xvalue,counts
1,218
2,137
3,123
4,108
5,104
6,92
7,99
8,95
9,112
10,91
11,110
12,87
13,84
14,98
15,97
16,100
17,92
18,88
19,84
20,108
21,103
22,74
23,85
24,83
25,104
26,90
27,88
28,84
29,89
30,81
31,87
32,62
33,60
34,69
35,76
36,67
37,63
38,59
39,69
40,71
41,83
42,66
43,77
44,71
45,78
46,67
47,67
48,86
49,71
50,67
51,60
52,52
53,50
54,71
55,62
56,57
57,54
58,65
59,44
60,32
61,42
62,34
63,53
64,43
65,42
66,36
67,37
68,46
69,39
70,53
71,35
72,36
73,44
74,36
75,44
76,43
77,36
78,35
79,28
80,42
81,31
82,28
83,27
84,34
85,32
86,31
87,21
88,37
89,25
90,31
91,36
92,28
93,32
94,17
95,36
96,28
97,28
98,14
99,20
100,24
101,26
102,21
103,22
104,14
105,18
106,20
107,18
108,19
109,18
110,24
111,21
112,13
113,16
114,15
115,8
116,15
117,19
118,9
119,17
120,17
121,11
122,17
123,16
124,21
125,12
126,8
127,10
128,14
129,12
130,10
131,17
132,11
133,8
134,11
135,14
136,4
137,10
138,10
139,11
140,9
141,12
142,8
143,7
144,14
145,13
146,8
147,12
148,5
149,7
150,2
151,6
152,7
153,9
154,6
155,9
156,8
157,4
158,5
159,10
160,5
161,4
162,5
163,3
164,5
165,5
166,5
167,4
168,6
169,5
170,2
171,7
172,2
173,3
174,2
175,6
176,4
177,1
178,1
179,3
180,4
181,2
182,5
183,4
184,2
185,2
186,2
187,8
188,2
189,2
190,1
191,5
192,3
193,4
194,3
195,2
196,5
197,3
198,1
199,2
200,2
201,3
202,1
203,2
204,4
205,1
206,1
207,1
210,2
211,5
212,1
213,2
214,3
215,2
216,1
217,3
218,3
219,3
220,3
221,2
222,2
223,2
224,2
225,2
226,2
228,2
229,1
230,1
231,3
232,1
234,2
235,2
238,1
239,3
245,1
249,2
255,1
256,1
258,2
259,1
260,1
261,2
268,1
276,1
277,1
278,1
287,1
288,1
292,1
294,1
297,1
298,1
299,2
302,1
304,1
306,1
322,1
326,1
331,1
333,1
336,1
337,2
338,1
364,1
381,1
408,1
520,1
697,1
864,1
