xvalue,counts
1,196
2,109
3,94
4,81
5,72
6,65
7,55
8,66
9,42
10,56
11,59
12,61
13,59
14,62
15,63
16,61
17,52
18,59
19,51
20,58
21,59
22,54
23,56
24,41
25,46
26,61
27,47
28,65
29,58
30,54
31,74
32,53
33,66
34,68
35,56
36,61
37,61
38,63
39,57
40,57
41,55
42,59
43,57
44,54
45,61
46,66
47,68
48,44
49,46
50,47
51,54
52,47
53,57
54,50
55,61
56,57
57,45
58,38
59,48
60,54
61,47
62,53
63,54
64,45
65,33
66,48
67,54
68,54
69,52
70,49
71,48
72,45
73,53
74,47
75,41
76,36
77,44
78,44
79,47
80,41
81,40
82,43
83,45
84,33
85,43
86,46
87,38
88,43
89,26
90,38
91,39
92,37
93,47
94,25
95,45
96,34
97,32
98,36
99,30
100,37
101,29
102,27
103,26
104,31
105,38
106,34
107,40
108,25
109,34
110,30
111,23
112,35
113,32
114,36
115,28
116,31
117,30
118,25
119,34
120,41
121,31
122,32
123,25
124,34
125,31
126,23
127,29
128,29
129,19
130,25
131,22
132,27
133,19
134,22
135,40
136,22
137,34
138,28
139,24
140,22
141,20
142,23
143,26
144,16
145,22
146,19
147,21
148,23
149,15
150,18
151,16
152,17
153,15
154,20
155,16
156,12
157,25
158,14
159,12
160,20
161,13
162,14
163,18
164,16
165,16
166,17
167,13
168,13
169,15
170,14
171,13
172,16
173,5
174,8
175,13
176,15
177,9
178,11
179,11
180,14
181,10
182,13
183,10
184,11
185,7
186,11
187,7
188,10
189,11
190,6
191,7
192,10
193,12
194,9
195,6
196,4
197,5
198,12
199,4
200,11
201,10
202,12
203,7
204,4
205,8
206,4
207,5
208,7
209,10
210,7
211,6
212,6
213,7
214,7
215,4
216,2
217,9
218,7
219,10
220,6
221,8
222,2
223,8
224,7
225,5
226,6
227,3
228,6
229,3
230,6
231,5
232,5
233,2
234,2
236,6
237,6
238,3
239,4
240,5
241,2
242,5
243,3
244,5
246,1
247,3
248,5
249,2
251,3
252,1
253,3
254,4
255,5
256,2
257,3
258,3
259,5
260,3
261,2
262,1
263,5
264,2
265,3
266,4
267,2
268,8
269,2
271,2
273,1
274,2
275,2
276,1
277,3
278,2
279,6
280,2
281,4
282,3
283,2
285,1
286,5
287,1
288,3
289,2
291,2
292,1
293,2
294,2
295,2
296,1
300,3
301,3
302,3
303,2
304,5
306,1
307,1
308,1
309,2
310,1
311,2
313,1
316,3
317,1
319,1
320,1
322,1
325,2
326,2
327,1
329,2
333,3
334,2
338,1
340,1
343,1
344,1
346,1
347,1
349,1
354,2
356,1
359,2
360,1
361,1
367,1
379,1
389,1
396,1
401,1
402,1
411,1
412,1
414,2
415,1
417,1
421,1
425,1
432,1
433,1
473,1
476,1
477,1
493,1
504,1
508,1
531,2
543,1
548,1
592,1
688,1
1013,1
1183,1
