xvalue,counts
1,526
2,347
3,293
4,233
5,235
6,242
7,267
8,236
9,233
10,235
11,253
12,234
13,249
14,225
15,242
16,247
17,247
18,229
19,221
20,254
21,226
22,225
23,212
24,230
25,236
26,199
27,215
28,231
29,201
30,208
31,224
32,218
33,191
34,211
35,227
36,195
37,213
38,195
39,192
40,208
41,209
42,205
43,171
44,189
45,204
46,154
47,171
48,175
49,197
50,199
51,153
52,154
53,169
54,164
55,157
56,153
57,153
58,137
59,141
60,175
61,139
62,164
63,144
64,125
65,115
66,116
67,129
68,133
69,104
70,110
71,102
72,110
73,119
74,108
75,106
76,114
77,89
78,93
79,91
80,96
81,97
82,97
83,103
84,91
85,92
86,88
87,87
88,83
89,78
90,98
91,72
92,89
93,61
94,87
95,75
96,87
97,75
98,68
99,65
100,81
101,63
102,77
103,70
104,72
105,63
106,85
107,76
108,65
109,61
110,68
111,61
112,63
113,57
114,65
115,50
116,66
117,64
118,59
119,62
120,62
121,50
122,40
123,45
124,43
125,52
126,47
127,52
128,39
129,62
130,46
131,42
132,36
133,38
134,57
135,35
136,32
137,43
138,33
139,31
140,41
141,52
142,37
143,39
144,30
145,41
146,40
147,18
148,34
149,27
150,36
151,23
152,18
153,35
154,31
155,28
156,25
157,23
158,23
159,35
160,24
161,30
162,26
163,24
164,33
165,34
166,20
167,20
168,32
169,19
170,19
171,21
172,26
173,15
174,17
175,18
176,14
177,24
178,25
179,16
180,23
181,22
182,19
183,20
184,16
185,20
186,19
187,16
188,15
189,15
190,13
191,24
192,18
193,16
194,13
195,18
196,11
197,17
198,20
199,16
200,12
201,9
202,10
203,6
204,12
205,13
206,7
207,6
208,10
209,15
210,8
211,11
212,11
213,15
214,13
215,8
216,15
217,6
218,4
219,9
220,16
221,9
222,12
223,13
224,9
225,5
226,10
227,8
228,8
229,10
230,14
231,12
232,9
233,12
234,3
235,7
236,6
237,6
238,11
239,4
240,6
241,9
242,8
243,5
244,6
245,3
246,6
247,7
248,4
249,8
250,5
251,3
252,3
253,7
254,3
255,1
256,5
257,9
258,5
259,2
260,2
261,6
262,4
263,2
264,4
265,1
266,4
267,6
268,5
269,6
270,4
271,3
272,2
273,6
274,5
275,3
277,7
278,6
279,3
280,1
281,4
282,3
283,2
285,2
286,4
287,4
288,3
289,3
290,2
291,5
292,2
293,3
294,3
295,2
296,3
297,4
298,1
300,3
301,2
302,1
303,1
304,2
305,2
306,3
307,1
308,7
309,3
310,1
311,4
312,2
313,1
314,1
315,1
316,7
317,5
319,1
320,3
321,2
322,3
323,3
324,2
327,3
328,2
329,2
330,1
331,4
332,4
333,2
334,3
335,1
336,1
337,1
338,1
339,5
340,1
341,1
342,2
343,2
344,2
345,2
346,2
347,1
348,2
349,2
350,1
351,1
352,3
353,1
354,2
356,1
358,2
360,2
361,1
362,1
365,1
366,2
367,2
371,1
372,4
376,1
377,1
378,1
379,2
380,1
381,1
382,2
384,1
385,1
387,4
388,1
389,2
392,2
396,1
401,1
402,1
403,1
407,1
410,1
411,1
412,1
414,1
415,1
418,1
420,2
421,1
430,1
432,2
437,1
442,1
445,3
447,1
448,1
450,1
453,1
456,1
466,1
468,1
469,1
479,1
480,1
482,2
484,1
486,1
492,1
493,1
496,1
500,1
503,1
526,1
537,1
555,1
587,1
637,1
679,1
700,1
709,1
711,1
751,1
779,1
833,1
916,1
1159,1
1189,1
1854,1
2353,1
2806,1
3357,1
7206,1
