xvalue,counts
1,508
2,352
3,299
4,240
5,216
6,230
7,227
8,235
9,218
10,265
11,226
12,236
13,220
14,207
15,226
16,206
17,205
18,237
19,224
20,207
21,240
22,216
23,231
24,218
25,217
26,185
27,235
28,216
29,206
30,224
31,206
32,211
33,210
34,210
35,169
36,228
37,228
38,193
39,196
40,183
41,232
42,208
43,196
44,216
45,197
46,191
47,206
48,194
49,199
50,202
51,179
52,171
53,164
54,179
55,175
56,185
57,193
58,171
59,150
60,158
61,142
62,175
63,149
64,153
65,166
66,161
67,146
68,168
69,169
70,145
71,172
72,157
73,153
74,134
75,137
76,127
77,133
78,131
79,152
80,128
81,143
82,111
83,126
84,139
85,123
86,134
87,103
88,114
89,104
90,125
91,109
92,94
93,102
94,106
95,93
96,92
97,98
98,97
99,109
100,90
101,106
102,98
103,101
104,97
105,101
106,107
107,89
108,87
109,95
110,83
111,83
112,87
113,71
114,77
115,79
116,89
117,79
118,76
119,75
120,86
121,79
122,51
123,69
124,65
125,65
126,62
127,60
128,64
129,44
130,64
131,58
132,60
133,63
134,50
135,48
136,59
137,49
138,45
139,68
140,53
141,59
142,58
143,43
144,52
145,44
146,61
147,41
148,35
149,49
150,47
151,35
152,36
153,31
154,34
155,37
156,41
157,22
158,43
159,41
160,31
161,31
162,32
163,39
164,38
165,28
166,42
167,31
168,27
169,35
170,23
171,33
172,30
173,27
174,27
175,26
176,20
177,29
178,11
179,25
180,18
181,17
182,22
183,29
184,18
185,17
186,33
187,24
188,33
189,20
190,15
191,20
192,15
193,16
194,15
195,24
196,17
197,15
198,13
199,21
200,24
201,19
202,18
203,19
204,18
205,10
206,17
207,17
208,15
209,10
210,8
211,17
212,16
213,15
214,10
215,14
216,10
217,10
218,11
219,13
220,15
221,5
222,12
223,6
224,10
225,9
226,8
227,6
228,6
229,9
230,10
231,4
232,7
233,8
234,10
235,7
236,12
237,9
238,4
239,6
240,10
241,12
242,16
243,4
244,6
245,5
246,7
247,6
248,7
249,6
250,4
251,5
252,3
253,8
254,6
255,3
256,4
257,8
258,9
259,4
260,4
261,5
262,3
263,5
264,8
265,8
266,7
267,4
268,5
269,5
270,4
271,2
272,1
273,4
274,4
275,5
276,3
277,3
278,4
280,1
281,2
282,5
283,3
284,3
285,6
286,4
287,3
288,5
289,5
290,7
291,3
292,3
293,2
294,2
295,4
297,5
299,2
300,5
301,2
302,3
303,4
304,4
306,5
307,2
308,1
309,1
310,2
312,2
313,1
314,2
315,2
316,1
317,2
318,1
319,2
320,3
321,5
322,1
324,1
325,2
326,1
328,2
329,2
330,2
331,4
332,1
333,2
334,2
335,3
336,2
337,3
338,2
340,1
341,1
342,1
343,2
344,1
345,1
346,3
347,1
348,1
349,1
350,2
352,1
354,1
355,2
356,1
357,1
358,1
359,1
361,2
362,1
363,2
364,1
366,2
369,1
370,2
371,1
372,2
373,1
375,2
376,1
378,1
380,1
382,2
383,1
387,1
394,1
396,1
397,2
398,1
399,2
405,2
408,1
409,1
412,1
415,1
418,2
420,1
425,1
427,1
429,1
430,1
431,1
433,1
436,1
441,1
442,1
446,1
476,1
498,1
499,1
503,1
507,2
508,1
513,1
522,1
526,1
527,1
532,1
557,1
589,1
601,1
610,1
622,1
644,1
714,1
741,1
743,1
778,1
792,1
836,1
1081,1
1214,1
1222,1
1369,1
1450,1
1594,1
2292,1
3263,1
3484,1
