xvalue,counts
1,313
2,135
3,102
4,92
5,36868
6,15037
7,9063
8,5783
9,3972
10,3050
11,2319
12,1767
13,1341
14,1193
15,960
16,796
17,679
18,592
19,530
20,466
21,355
22,356
23,350
24,296
25,298
26,223
27,237
28,191
29,205
30,177
31,165
32,156
33,180
34,139
35,131
36,120
37,111
38,122
39,101
40,127
41,95
42,91
43,82
44,79
45,88
46,79
47,75
48,73
49,74
50,73
51,63
52,64
53,63
54,66
55,75
56,66
57,74
58,62
59,58
60,52
61,59
62,61
63,48
64,48
65,49
66,47
67,48
68,61
69,40
70,56
71,44
72,46
73,45
74,45
75,39
76,50
77,41
78,32
79,53
80,44
81,24
82,46
83,48
84,39
85,44
86,50
87,45
88,41
89,50
90,44
91,39
92,41
93,34
94,35
95,29
96,44
97,27
98,42
99,26
100,144
101,157
102,176
103,174
104,191
105,189
106,171
107,188
108,187
109,199
110,189
111,150
112,147
113,134
114,158
115,130
116,120
117,104
118,108
119,102
120,97
121,94
122,92
123,90
124,67
125,90
126,81
127,67
128,72
129,77
130,52
131,86
132,54
133,64
134,64
135,71
136,67
137,62
138,44
139,51
140,52
141,63
142,57
143,41
144,53
145,44
146,62
147,79
148,55
149,64
150,41
151,44
152,64
153,46
154,50
155,37
156,36
157,51
158,49
159,46
160,46
161,45
162,54
163,28
164,37
165,39
166,33
167,47
168,42
169,36
170,48
171,33
172,50
173,49
174,48
175,41
176,40
177,33
178,51
179,47
180,36
181,42
182,39
183,37
184,44
185,29
186,21
187,41
188,35
189,43
190,39
191,33
192,40
193,33
194,15
195,31
196,34
197,32
198,33
199,34
200,39
201,25
202,38
203,29
204,38
205,35
206,33
207,29
208,32
209,29
210,25
211,38
212,30
213,30
214,43
215,26
216,33
217,28
218,32
219,35
220,24
221,30
222,29
223,36
224,39
225,30
226,18
227,28
228,26
229,29
230,31
231,25
232,27
233,34
234,29
235,28
236,24
237,24
238,20
239,13
240,27
241,25
242,25
243,25
244,19
245,25
246,22
247,24
248,16
249,27
250,23
251,17
252,23
253,19
254,18
255,27
256,18
257,24
258,20
259,21
260,19
261,27
262,25
263,25
264,21
265,26
266,23
267,22
268,19
269,16
270,14
