xvalue,counts
1,7840
2,9700
3,2219
4,907
5,471
6,290
7,200
8,173
9,132
10,113
11,96
12,65
13,49
14,56
15,43
16,41
17,34
18,30
19,25
20,32
21,12
22,18
23,25
24,23
25,21
26,14
27,8
28,15
29,15
30,6
31,13
32,11
33,4
34,9
35,7
36,12
37,10
38,8
39,5
40,7
41,5
42,4
43,5
44,7
45,7
46,4
47,3
48,5
49,3
50,4
51,5
52,3
53,2
54,1
55,2
57,4
58,1
59,2
60,1
61,1
62,3
64,1
65,5
66,2
67,1
68,3
70,2
71,2
72,2
74,2
75,2
76,2
77,2
78,1
80,4
81,1
82,2
84,2
85,1
86,1
87,2
89,2
90,2
91,5
93,1
94,1
96,3
99,1
100,1
103,2
104,1
105,1
107,1
108,1
110,2
113,1
115,1
116,1
117,1
125,2
128,1
132,1
138,1
140,1
141,1
142,1
146,2
148,1
150,1
159,1
165,1
169,1
175,1
176,1
178,1
194,1
195,1
197,1
201,1
204,1
206,1
207,1
209,1
212,1
223,1
229,1
240,1
259,1
268,1
276,1
278,1
284,1
286,1
288,1
295,1
303,1
306,1
311,1
353,1
361,1
362,1
423,1
424,1
425,1
479,1
497,1
523,1
529,1
532,1
538,1
590,1
658,1
697,1
755,1
764,1
1210,1
1243,1
1298,1
1713,1
2016,1
2390,1
