xvalue,counts
1,680
2,621
3,354
4,199
5,149
6,112
7,57
8,57
9,56
10,41
11,34
12,22
13,24
14,29
15,26
16,23
17,20
18,15
19,19
20,14
21,12
22,14
23,14
24,15
25,13
26,14
27,6
28,7
29,10
30,11
31,9
32,8
33,7
34,7
35,11
36,10
37,6
38,7
39,5
40,12
41,4
42,3
43,6
44,6
45,2
46,8
47,1
49,5
50,3
51,8
52,6
53,2
54,6
56,6
58,4
59,2
60,4
61,1
62,1
63,1
64,1
65,3
66,1
67,2
68,2
69,3
70,4
71,2
73,3
75,5
76,3
77,5
78,3
79,1
81,2
82,3
83,3
85,3
87,2
88,2
89,2
90,1
91,2
92,2
93,1
97,2
98,1
99,1
100,1
104,1
105,2
106,1
107,1
108,1
112,2
113,2
114,2
115,1
116,1
117,1
118,3
119,1
120,1
121,1
122,1
123,1
124,1
126,1
131,1
136,1
139,2
143,1
144,1
149,1
159,3
160,1
166,1
168,1
169,1
170,1
172,1
211,1
218,1
242,1
