xvalue,counts
0,500
1,212
2,130
3,68
4,51
5,46
6,47
7,25
8,24
9,31
10,18
11,14
12,16
13,7
14,10
15,9
16,7
17,5
18,4
19,8
20,3
21,6
22,3
23,5
24,10
25,4
26,4
27,9
28,5
29,4
30,6
31,3
32,7
33,13
34,2
35,3
36,7
37,3
38,4
39,8
40,3
41,5
42,3
43,4
44,5
45,5
46,4
47,3
48,3
49,2
50,5
51,2
52,3
54,1
55,1
56,5
57,2
58,1
59,3
60,1
61,3
62,3
63,1
64,2
65,5
66,1
67,1
68,2
69,2
70,1
72,2
73,1
75,6
76,2
77,2
79,1
80,3
81,1
82,2
83,1
86,1
87,3
90,1
94,1
95,1
96,1
100,1
101,3
103,1
104,1
105,2
107,1
109,1
112,2
113,1
114,1
117,2
118,1
119,1
121,1
123,1
128,1
135,1
138,1
140,1
143,1
157,1
165,1
181,1
187,1
200,1
201,1
211,1
220,1
238,1
263,1
268,1
276,1
337,1
