xvalue,counts
0,426
1,123
2,90
3,81
4,58
5,39
6,47
7,31
8,35
9,31
10,21
11,32
12,23
13,23
14,25
15,19
16,19
17,24
18,18
19,10
20,10
21,10
22,5
23,15
24,17
25,9
26,10
27,11
28,8
29,7
30,14
31,5
32,7
33,9
34,5
35,6
36,7
37,5
38,5
39,6
40,8
41,7
42,5
43,8
44,3
45,4
46,3
47,5
48,3
49,5
50,4
51,2
52,1
53,4
54,5
55,3
56,3
57,3
58,1
59,3
60,2
61,2
62,6
63,1
66,3
67,2
68,1
69,4
70,4
71,2
72,2
73,3
74,2
79,1
80,2
81,1
82,2
83,1
84,1
86,2
87,2
88,2
91,2
94,1
96,2
103,1
106,1
109,1
110,1
113,1
115,1
123,1
131,2
140,1
256,1
