xvalue,counts
0,266
1,129
2,96
3,82
4,50
5,40
6,41
7,35
8,28
9,16
10,21
11,21
12,14
13,22
14,25
15,28
16,16
17,23
18,20
19,16
20,13
21,16
22,16
23,11
24,8
25,7
26,10
27,11
28,7
29,5
30,10
31,6
32,8
33,11
34,10
35,7
36,9
37,9
38,8
39,8
40,9
41,7
42,11
43,9
44,7
45,5
46,12
47,1
48,8
49,2
50,5
51,2
52,2
53,2
54,4
55,4
56,10
57,5
58,2
59,3
60,4
61,4
62,3
63,5
64,2
66,3
68,6
69,1
70,3
71,1
72,4
73,5
74,5
75,3
76,2
77,3
78,4
79,3
80,4
81,5
82,3
83,1
84,1
85,4
86,2
87,3
88,2
89,4
90,2
91,4
92,2
93,1
94,1
95,4
96,2
97,3
98,2
99,1
100,2
102,4
103,1
104,3
105,1
106,1
107,1
108,1
110,1
111,2
112,2
113,1
114,6
115,1
116,2
117,2
119,1
122,4
124,1
125,1
126,1
127,3
129,1
131,1
132,2
135,1
137,1
141,3
142,3
143,1
144,1
147,1
150,2
151,1
153,1
159,1
161,1
163,1
169,1
170,1
171,2
174,1
178,1
179,1
182,1
189,1
204,1
208,1
211,1
216,1
218,1
219,1
225,1
228,1
235,1
243,1
256,1
282,1
350,1
362,1
383,1
467,1
