xvalue,counts
0,17754
1,4636
2,1267
3,616
4,368
5,227
6,167
7,154
8,115
9,83
10,72
11,54
12,45
13,40
14,37
15,26
16,23
17,21
18,26
19,22
20,22
21,19
22,19
23,11
24,18
25,13
26,10
27,10
28,10
29,8
30,8
31,8
32,11
33,5
34,7
35,10
36,7
37,4
38,4
39,3
40,5
41,7
42,5
43,6
44,6
45,5
46,7
47,1
48,2
49,4
50,5
52,2
53,5
54,3
55,6
56,1
57,3
58,4
59,2
60,3
61,2
62,3
63,4
64,1
65,6
66,3
67,2
68,2
69,4
70,2
71,4
72,2
73,2
75,3
76,4
78,2
79,1
81,5
83,1
85,2
86,2
90,1
92,2
93,3
95,1
96,2
98,1
101,1
102,1
103,1
104,1
105,1
110,1
111,1
112,3
116,1
117,1
118,1
119,2
123,1
124,1
126,1
127,1
131,2
132,1
135,1
136,2
138,1
140,2
141,2
144,1
146,1
152,1
153,1
154,1
155,1
161,2
166,1
167,2
169,1
172,1
174,1
175,1
176,1
181,1
187,1
190,2
198,1
204,1
205,1
217,1
229,1
232,1
233,1
234,2
236,1
243,1
253,1
271,1
274,1
275,1
280,1
284,1
287,1
289,1
296,1
298,1
304,1
306,1
328,1
359,1
364,1
375,1
387,1
408,1
430,2
434,1
444,1
468,1
474,1
499,1
564,1
572,1
605,1
673,1
691,1
812,1
817,1
856,1
868,1
928,1
1043,1
1045,1
1436,1
1987,1
3013,1
3074,1
