xvalue,counts
1,9708
2,5769
3,3207
4,1941
5,1145
6,787
7,605
8,455
9,334
10,290
11,194
12,170
13,141
14,126
15,119
16,93
17,92
18,86
19,60
20,58
21,66
22,61
23,37
24,37
25,31
26,29
27,25
28,25
29,28
30,30
31,17
32,18
33,10
34,18
35,23
36,12
37,14
38,8
39,11
40,10
41,13
42,9
43,11
44,8
45,8
46,13
47,1
48,3
49,5
50,9
51,6
52,3
53,6
54,4
55,7
56,3
57,2
58,7
59,2
60,5
61,4
62,7
63,5
64,1
65,4
66,3
67,4
68,2
69,5
70,2
71,6
72,2
73,2
74,2
75,2
76,3
77,1
78,3
79,2
80,2
81,4
82,1
83,2
85,2
86,2
88,1
91,1
92,2
93,2
94,1
95,1
96,1
97,2
98,1
100,1
101,1
102,1
103,2
104,2
105,1
110,2
111,1
112,2
116,1
118,1
119,2
121,1
122,3
123,1
126,2
127,1
129,1
131,2
132,2
135,1
136,1
138,1
140,1
141,2
142,1
144,1
146,1
148,1
151,1
152,1
156,1
157,2
161,2
166,1
167,1
169,1
172,1
174,2
175,1
176,1
181,1
187,1
190,1
195,1
198,1
205,2
217,1
229,1
232,1
234,2
235,1
236,1
243,1
253,1
275,1
280,1
282,1
284,1
287,1
289,1
296,1
298,1
301,1
304,1
307,1
328,1
359,1
364,1
375,1
387,1
408,1
430,2
434,1
444,1
468,1
474,1
499,1
564,1
572,1
608,1
674,1
691,1
812,1
820,1
858,1
869,1
928,1
1043,1
1045,1
1436,1
1987,1
3013,1
3080,1
