xvalue,counts
1,1352
2,1819
3,1573
4,1270
5,938
6,756
7,621
8,515
9,500
10,395
11,377
12,361
13,281
14,293
15,276
16,229
17,232
18,192
19,187
20,209
21,141
22,144
23,146
24,144
25,107
26,118
27,128
28,130
29,110
30,127
31,119
32,67
33,94
34,86
35,94
36,58
37,85
38,94
39,86
40,59
41,93
42,59
43,60
44,54
45,77
46,30
47,55
48,80
49,37
50,36
51,66
52,29
53,63
54,38
55,61
56,29
57,28
58,23
59,22
60,25
61,32
62,17
63,20
64,14
65,14
66,19
67,20
68,26
69,14
70,17
71,12
72,13
73,14
74,14
75,13
76,9
77,3
78,15
79,10
80,8
81,6
82,5
83,8
84,10
85,1
86,4
87,5
88,3
89,9
90,4
91,7
92,5
93,4
94,4
95,8
96,3
97,4
98,8
99,5
100,5
101,9
102,6
103,4
104,9
105,4
106,2
107,6
108,8
110,2
111,2
112,7
113,1
114,1
115,4
116,2
117,3
119,5
120,2
121,2
122,2
124,3
126,2
127,1
129,3
130,1
131,2
132,1
134,3
135,2
137,1
140,2
142,3
143,1
144,2
145,1
146,2
147,2
148,1
149,1
151,2
152,1
155,2
156,3
157,2
158,1
159,2
163,2
166,1
169,1
170,1
174,1
177,1
180,1
181,2
193,1
198,1
199,1
211,1
225,1
242,1
244,2
284,2
291,1
296,1
299,1
329,1
353,1
360,1
