xvalue,counts
1,3247
2,4427
3,3962
4,3112
5,2440
6,2103
7,1625
8,1362
9,1039
10,869
11,696
12,633
13,523
14,461
15,379
16,322
17,291
18,290
19,216
20,223
21,211
22,160
23,140
24,135
25,135
26,98
27,89
28,93
29,68
30,71
31,57
32,56
33,63
34,62
35,55
36,56
37,47
38,43
39,31
40,30
41,33
42,31
43,29
44,22
45,23
46,21
47,20
48,15
49,17
50,18
51,18
52,12
53,15
54,18
55,8
56,18
57,14
58,15
59,6
60,8
61,8
62,9
63,9
64,4
65,5
66,4
67,4
68,3
69,2
70,1
71,1
72,7
73,3
74,5
75,3
76,5
77,6
78,7
79,1
80,3
81,4
82,1
83,4
84,6
85,5
86,2
87,2
88,5
91,2
92,1
93,2
95,1
97,1
99,2
100,4
101,2
103,2
104,5
105,1
106,1
107,2
108,1
112,2
113,2
114,3
115,1
118,3
119,1
120,2
121,1
122,1
123,1
127,1
133,2
137,1
139,1
146,1
162,1
166,1
167,2
176,1
182,1
193,1
195,1
202,1
