xvalue,counts
1,328
2,197
3,145
4,108
5,80
6,41
7,39
8,32
9,40
10,23
11,21
12,22
13,18
14,29
15,14
16,11
17,23
18,17
19,21
20,12
21,16
22,8
23,13
24,12
25,10
26,9
27,13
28,7
29,8
30,6
31,3
32,3
33,6
34,3
35,6
36,5
37,6
38,1
39,3
40,4
41,4
42,2
43,4
44,2
45,1
46,4
47,3
48,3
49,4
50,4
51,4
53,1
54,4
55,4
58,2
59,3
60,6
61,1
62,1
63,1
64,2
65,1
66,1
67,3
68,1
69,3
70,2
71,2
72,3
73,2
74,1
75,4
76,2
77,1
80,1
81,1
83,3
84,1
86,1
87,1
93,2
94,2
95,1
97,3
98,1
99,1
100,5
101,2
102,1
104,1
105,1
107,1
108,1
109,2
110,1
111,3
112,2
115,1
116,1
118,2
119,1
120,1
121,2
122,1
123,2
126,1
128,1
130,1
131,3
132,2
133,2
136,1
137,1
138,1
139,1
140,1
141,1
143,2
145,1
147,2
149,1
153,1
154,2
159,1
162,1
163,1
165,1
166,2
169,1
172,1
173,2
176,2
180,2
183,1
184,2
187,2
189,2
190,1
193,2
195,2
196,1
198,1
202,1
203,1
204,1
205,1
211,1
214,1
219,1
231,1
240,1
244,1
245,1
252,1
254,1
261,1
267,1
269,1
273,1
274,1
291,1
292,1
296,1
299,1
314,1
