xvalue,counts
0,68136
1,183981
2,129085
3,76580
4,50134
5,33042
6,21885
7,17428
8,9478
9,7116
10,7338
11,7324
12,5323
13,4657
14,4902
15,10140
16,2452
17,2078
18,1865
19,1666
20,1490
21,1566
22,2366
23,4041
24,2511
25,1248
26,1195
27,791
28,554
29,603
30,619
31,584
32,506
33,496
34,435
35,375
36,291
37,305
38,355
39,370
40,376
41,298
42,413
43,256
44,218
45,327
46,368
47,192
48,328
49,240
50,196
51,338
52,228
53,226
54,325
55,260
56,186
57,236
58,150
59,152
60,184
61,195
62,263
63,475
64,362
65,280
66,246
67,186
68,298
69,343
70,170
71,254
72,382
73,293
74,218
75,248
76,285
77,286
78,156
79,86
80,71
81,572
82,302
83,58
84,89
85,51
86,83
87,65
88,106
89,86
90,63
91,70
92,54
93,70
94,75
95,43
96,66
97,64
98,62
99,69
100,55
101,168
102,60
103,358
104,131
105,68
106,61
107,31
108,61
109,37
110,66
111,72
112,82
113,274
114,28
115,82
116,139
117,80
118,40
119,47
120,41
121,41
122,19
123,34
124,36
125,47
126,30
127,38
128,22
129,17
130,18
131,14
132,22
133,30
134,24
135,43
136,21
137,27
138,16
139,16
140,26
141,29
142,30
143,17
144,69
145,39
146,22
147,27
148,28
149,22
150,15
151,24
152,21
153,33
154,13
155,29
156,21
157,17
158,14
159,131
160,53
161,15
162,333
163,7
164,8
165,4
166,19
167,10
168,4
169,9
170,6
171,7
172,6
173,6
174,10
175,4
176,9
177,12
178,11
179,13
180,26
181,24
182,22
183,19
184,18
185,16
186,10
187,3
188,5
189,84
190,13
191,12
192,54
193,83
194,29
195,62
196,37
197,24
198,27
199,10
200,6
201,69
202,30
203,28
204,15
205,12
206,5
207,4
208,8
209,3
210,3
211,1
212,5
213,6
214,8
215,9
216,7
217,9
218,6
219,3
220,4
221,6
222,11
223,5
224,59
225,10
226,7
227,6
228,7
229,7
230,21
231,7
232,4
233,5
234,68
235,16
236,11
237,20
238,7
239,4
240,9
241,3
242,9
243,8
244,6
245,25
246,6
247,2
248,7
249,8
250,3
251,12
252,6
253,10
254,10
255,8
256,2
257,5
258,18
259,6
260,3
261,4
262,2
263,2
265,14
266,10
267,8
268,2
270,9
271,3
272,11
273,10
274,6
275,5
276,8
277,5
278,9
279,4
280,7
282,3
283,26
284,11
285,5
286,4
287,6
288,3
289,3
290,2
292,1
293,3
294,10
295,3
296,9
297,3
298,2
299,1
300,2
301,1
302,4
303,7
304,19
305,3
306,3
307,46
308,11
309,3
310,3
311,3
312,5
313,4
314,3
315,3
316,5
317,2
318,3
319,4
320,2
321,2
322,3
323,3
324,4
325,5
326,9
327,39
328,4
329,7
331,1
332,3
333,3
334,1
335,2
336,3
337,1
338,1
339,3
340,13
341,2
342,2
343,6
344,3
345,3
346,10
347,3
349,1
350,15
351,2
352,1
353,7
355,5
356,4
357,55
358,3
359,2
360,2
361,6
362,18
363,3
364,5
365,1
366,1
368,2
369,1
370,6
371,4
372,5
373,3
374,4
375,2
376,3
377,9
378,5
379,6
380,3
381,5
382,4
383,36
384,18
385,2
386,2
387,8
388,7
389,10
390,8
391,2
392,7
393,23
394,1
395,8
396,3
397,1
398,2
399,1
401,3
402,2
403,1
404,1
406,2
407,1
408,2
409,2
410,2
412,4
413,1
414,1
415,12
416,1
418,1
420,1
423,4
425,3
427,10
428,1
429,1
433,1
434,7
435,11
436,1
437,3
438,21
439,2
440,1
441,4
443,3
444,2
445,2
447,1
448,1
449,1
450,6
451,4
454,3
455,1
457,8
458,1
459,2
460,3
461,2
463,1
464,4
465,4
466,25
467,2
468,5
469,2
470,8
471,3
472,7
473,13
474,37
475,1
476,4
477,18
479,4
480,2
481,5
483,4
484,2
485,42
487,7
488,3
489,2
493,16
495,2
496,1
498,2
500,3
501,3
502,1
503,2
504,1
505,2
506,1
507,1
508,1
514,1
515,23
516,1
517,8
518,2
519,1
520,1
521,2
522,1
523,2
524,25
525,2
526,3
527,1
528,1
529,1
531,1
538,2
540,1
541,1
542,1
543,7
544,1
548,12
553,1
557,1
559,58
560,2
561,3
563,2
564,6
565,3
567,14
570,1
574,1
575,1
576,2
577,1
578,1
579,5
580,17
581,4
585,1
586,3
587,2
588,12
589,2
591,1
592,1
594,1
598,1
599,1
603,2
612,4
613,1
617,1
622,2
625,1
626,2
627,2
628,1
630,1
636,82
637,1
638,2
639,1
640,2
642,3
645,1
650,5
653,1
661,2
662,1
664,2
665,2
667,1
669,1
670,1
671,2
672,1
673,1
676,1
678,1
679,3
681,1
682,1
688,3
691,1
692,4
693,1
694,3
695,15
696,1
699,3
701,1
702,2
705,1
706,1
707,1
710,1
711,3
712,3
713,2
714,5
720,1
729,1
736,4
737,1
739,2
740,1
743,1
744,2
745,2
746,3
749,1
751,1
752,3
753,2
754,1
755,2
756,1
758,1
