xvalue,counts
0,4744
1,70959
2,73990
3,76371
4,60076
5,38984
6,40709
7,40065
8,30766
9,21208
10,42193
11,12907
12,12376
13,7894
14,7436
15,6011
16,8566
17,4778
18,4449
19,7618
20,19561
21,10926
22,2554
23,5051
24,3297
25,2582
26,2443
27,2322
28,1890
29,2274
30,2426
31,2564
32,2789
33,2882
34,4955
35,6549
36,7674
37,1680
38,933
39,588
40,563
41,539
42,514
43,792
44,682
45,348
46,282
47,589
48,281
49,302
50,365
51,451
52,424
53,2327
54,710
55,3605
56,191
57,171
58,139
59,199
60,484
61,356
62,209
63,199
64,154
65,162
66,74
67,155
68,147
69,150
70,93
71,81
72,283
73,399
74,186
75,55
76,85
77,485
78,140
79,140
80,241
81,353
82,699
83,104
84,255
85,95
86,118
87,555
88,33
89,39
90,63
91,35
92,86
93,204
94,27
95,42
96,50
97,45
98,267
99,264
100,246
101,580
102,2390
103,936
104,17
105,10
106,24
107,15
108,16
109,13
110,10
111,152
112,7
113,5
114,9
115,2
116,8
117,8
118,7
119,8
120,94
121,84
122,13
123,6
124,7
125,9
126,1
127,4
128,3
129,3
130,3
131,4
132,13
133,1
135,1
136,6
137,4
138,2
139,4
140,2
141,4
142,312
143,113
144,4
145,4
146,11
147,4
148,8
149,8
150,5
151,6
152,231
153,2
154,7
155,4
156,8
157,2
158,3
159,1
160,114
161,2
162,1
164,7
165,1
167,10
168,2
169,3
170,2
171,1
172,1
173,2
175,1
178,1
179,4
180,5
182,5
183,3
184,3
185,1
186,1
187,3
188,1
189,8
190,3
192,3
193,2
194,1
195,3
196,6
197,6
200,1
201,327
202,2
203,1
204,6
205,1
206,1
207,1
208,2
209,2
210,1
212,2
213,2
214,5
215,9
216,6
217,5
218,1
219,4
220,2
221,2
222,2
224,3
225,1
226,7
227,1
230,2
231,7
232,3
234,5
235,2
236,2
237,2
241,1
242,2
243,2
244,3
245,2
246,1
248,1
249,2
