xvalue,counts
1,20303
2,46746
3,33058
4,45578
5,51881
6,41746
7,47632
8,30339
9,28403
10,31807
11,37802
12,30606
13,16661
14,12435
15,10950
16,9657
17,8067
18,7398
19,7134
20,7465
21,16702
22,12162
23,4488
24,6245
25,9272
26,3085
27,2802
28,2671
29,2842
30,2954
31,3382
32,2575
33,2159
34,2338
35,2648
36,3342
37,4669
38,3263
39,2103
40,1802
41,3510
42,2619
43,5145
44,2154
45,1691
46,1722
47,1509
48,1474
49,1709
50,1711
51,2150
52,822
53,2815
54,1012
55,1791
56,1727
57,1397
58,1532
59,918
60,849
61,1684
62,489
63,502
64,483
65,357
66,515
67,345
68,306
69,321
70,311
71,377
72,485
73,649
74,469
75,299
76,285
77,701
78,367
79,264
80,359
81,260
82,785
83,241
84,304
85,378
86,421
87,706
88,168
89,187
90,235
91,206
92,168
93,306
94,360
95,128
96,169
97,167
98,378
99,344
100,223
101,287
102,120
103,260
104,1002
105,116
106,184
107,98
108,189
109,102
110,88
111,88
112,89
113,115
114,81
115,96
116,127
117,95
118,87
119,101
120,99
121,70
122,49
123,71
124,76
125,81
126,73
127,55
128,42
129,57
130,41
131,54
132,53
133,45
134,56
135,51
136,60
137,32
138,42
139,48
140,38
141,39
142,43
143,24
144,41
145,29
146,36
147,32
148,43
149,37
150,42
151,30
152,31
153,29
154,32
155,21
156,29
157,26
158,23
159,19
160,137
161,59
162,303
163,166
164,149
165,216
166,214
167,149
168,147
169,29
170,222
171,149
172,24
173,271
174,86
175,147
176,43
177,150
178,210
179,147
180,22
181,15
182,36
183,163
184,147
185,23
186,36
187,26
188,18
189,19
190,15
191,14
192,9
193,7
194,8
195,23
196,24
197,82
198,18
199,20
200,8
201,88
202,17
203,274
204,34
205,35
206,23
207,11
208,28
209,53
210,37
211,29
212,18
213,11
214,7
215,13
216,17
217,10
218,117
219,29
220,18
221,16
222,15
223,22
224,15
225,18
226,23
227,26
228,15
229,16
230,10
231,9
232,3
233,13
234,6
235,10
236,10
237,5
238,12
239,6
240,7
241,9
242,8
243,11
244,16
245,318
246,9
247,111
248,7
249,9
250,8
251,6
252,13
253,6
254,5
255,11
256,7
257,7
258,8
259,7
260,8
261,98
262,47
263,5
264,11
265,236
266,10
267,5
268,7
269,11
270,12
271,3
272,14
273,5
274,16
275,9
276,8
277,6
278,3
279,6
280,3
282,2
283,3
285,10
286,8
287,9
288,7
289,3
290,10
291,22
292,7
293,50
294,22
295,52
296,24
297,2
298,5
299,4
300,3
301,9
302,6
303,6
304,5
305,7
306,6
307,6
308,8
309,4
310,7
311,4
312,4
313,1
314,5
315,50
316,62
317,11
318,5
319,6
320,5
321,3
322,5
323,4
324,3
325,2
326,4
327,6
328,5
329,3
330,6
331,5
332,4
333,8
334,5
335,37
336,61
337,9
338,2
339,3
340,1
341,6
342,6
343,3
344,4
345,2
346,7
347,5
348,11
349,10
350,4
351,10
352,5
353,3
354,3
355,3
356,3
357,4
358,4
359,1
360,2
361,1
362,2
363,330
364,2
365,50
366,5
367,3
368,3
369,4
370,4
371,6
372,6
373,3
374,2
375,5
376,7
377,5
378,6
379,1
380,5
381,5
382,7
383,5
384,3
385,2
386,5
387,5
388,1
389,1
390,6
391,13
392,7
393,15
394,11
395,4
396,4
397,5
398,1
399,4
400,6
401,24
402,2
403,4
404,2
405,5
406,3
407,4
408,7
409,5
410,3
411,4
412,6
413,2
414,3
415,6
416,4
417,2
418,2
419,1
421,5
422,2
423,15
424,6
425,2
426,6
427,3
428,4
429,4
430,2
431,3
432,2
433,2
435,12
436,1
438,1
439,3
440,4
441,2
442,4
443,12
444,3
445,1
446,16
447,3
448,5
449,3
450,2
451,4
452,5
453,1
454,2
455,2
456,4
457,3
458,3
459,5
460,3
461,5
462,7
464,1
465,5
466,3
467,3
468,8
469,1
470,4
471,2
472,1
473,7
474,19
475,1
476,7
477,6
478,7
479,8
480,7
481,13
482,36
483,3
