xvalue,counts
0,161168
1,286895
2,114542
3,58863
4,36633
5,27869
6,23752
7,19255
8,15987
9,14154
10,11523
11,10037
12,8739
13,7552
14,6768
15,6207
16,5726
17,5230
18,4858
19,4230
20,3744
21,2859
22,2234
23,2001
24,1885
25,1604
26,1630
27,1446
28,1293
29,1231
30,1137
31,1077
32,932
33,845
34,866
35,869
36,906
37,782
38,711
39,643
40,572
41,614
42,554
43,560
44,545
45,489
46,467
47,391
48,346
49,369
50,400
51,324
52,344
53,404
54,295
55,294
56,253
57,261
58,264
59,224
60,224
61,210
62,189
63,217
64,218
65,193
66,236
67,137
68,162
69,141
70,163
71,176
72,143
73,128
74,153
75,136
76,150
77,120
78,147
79,97
80,93
81,114
82,132
83,74
84,96
85,109
86,70
87,102
88,84
89,75
90,137
91,115
92,85
93,83
94,108
95,84
96,62
97,72
98,75
99,90
100,69
101,61
102,52
103,75
104,43
105,70
106,84
107,64
108,70
109,60
110,36
111,50
112,32
113,50
114,50
115,32
116,44
117,25
118,30
119,30
120,34
121,31
122,61
123,47
124,31
125,36
126,32
127,58
128,25
129,20
130,31
131,22
132,34
133,36
134,30
135,35
136,33
137,42
138,18
139,33
140,35
141,26
142,32
143,18
144,16
145,23
146,12
147,24
148,23
149,27
150,24
151,17
152,12
153,14
154,19
155,18
156,19
157,24
158,13
159,17
160,24
161,14
162,12
163,10
164,9
165,10
166,16
167,16
168,13
169,7
170,10
171,13
172,10
173,11
174,10
175,11
176,14
177,7
178,8
179,12
180,14
181,9
182,25
183,10
184,12
185,12
186,16
187,10
188,3
189,14
190,6
191,17
192,11
193,23
194,8
195,10
196,6
197,10
198,12
199,7
200,13
201,10
202,11
203,13
204,3
205,10
206,29
207,16
208,16
209,6
210,8
211,15
212,11
213,10
214,7
215,6
216,1
217,12
218,6
219,8
220,14
221,7
222,6
223,3
224,3
225,9
226,10
227,7
228,7
229,6
230,4
232,5
233,4
234,6
235,6
236,3
237,5
238,4
239,2
240,4
241,9
242,10
243,5
244,5
245,4
246,4
247,4
248,6
249,2
250,5
251,7
252,3
253,3
254,4
255,4
256,5
257,6
258,8
259,5
260,7
261,7
262,4
263,4
264,6
265,5
266,5
267,1
268,3
269,2
270,8
271,5
272,7
273,4
274,7
275,4
276,3
277,5
278,4
279,5
280,3
281,5
282,5
283,4
284,4
285,1
286,6
287,3
288,7
289,1
290,5
291,2
292,12
293,3
294,3
295,1
296,3
297,2
298,3
299,6
300,2
301,7
302,5
303,2
304,4
305,8
307,3
309,3
310,2
311,1
313,3
314,5
315,2
316,1
317,3
318,3
320,6
321,1
322,4
323,4
325,2
327,3
328,2
329,3
330,4
332,2
333,3
334,4
335,1
339,3
340,6
341,5
342,2
343,1
344,2
345,1
346,1
347,1
349,1
350,1
351,1
352,4
355,1
356,2
358,2
359,1
360,4
361,1
362,4
363,9
364,2
365,4
366,3
367,2
368,4
370,3
371,2
372,2
373,1
374,2
375,1
376,2
377,5
379,2
380,1
381,2
383,2
384,2
385,2
386,1
387,1
389,1
390,7
391,3
392,1
393,1
395,1
396,2
397,2
398,1
399,1
400,1
401,1
402,1
403,3
404,2
405,7
406,2
407,5
408,2
409,1
410,1
411,2
412,1
413,1
414,1
415,4
416,5
417,2
418,4
419,2
420,1
421,1
424,3
425,1
429,4
430,1
431,2
432,1
434,2
440,1
443,1
444,1
445,1
449,1
451,1
453,4
454,2
455,4
456,1
457,4
459,1
460,2
463,1
464,2
465,9
466,2
467,4
470,1
473,1
475,1
476,5
478,2
479,1
480,4
481,1
483,1
484,1
489,1
493,2
494,2
495,3
497,1
501,3
502,1
503,2
504,1
505,2
506,1
509,2
514,1
515,1
516,1
517,3
523,1
525,1
526,1
529,1
