xvalue,counts
0,136259
1,127937
2,95253
3,65976
4,53560
5,46771
6,40993
7,38491
8,37187
9,32666
10,29096
11,25656
12,22549
13,19156
14,17018
15,15130
16,13070
17,11778
18,11281
19,11256
20,8305
21,3424
22,2272
23,1645
24,1207
25,943
26,824
27,674
28,562
29,458
30,394
31,319
32,295
33,265
34,218
35,190
36,183
37,164
38,151
39,135
40,114
41,115
42,132
43,94
44,75
45,78
46,77
47,66
48,63
49,94
50,59
51,39
52,43
53,47
54,50
55,45
56,32
57,28
58,40
59,38
60,22
61,34
62,17
63,22
64,16
65,19
66,24
67,18
68,15
69,32
70,24
71,24
72,21
73,12
74,13
75,13
76,11
77,11
78,15
79,8
80,7
81,8
82,11
83,8
84,4
85,9
86,9
87,4
88,6
89,5
90,7
91,5
92,7
93,5
94,3
95,7
96,5
97,4
98,4
99,6
100,7
101,5
102,4
103,9
104,3
105,4
106,3
107,5
108,6
109,2
110,6
111,5
112,5
113,4
114,6
115,4
116,2
117,1
118,3
119,2
120,2
121,3
122,3
123,1
125,2
126,2
127,1
128,3
130,2
132,2
133,1
135,2
136,1
137,1
138,1
139,2
140,1
141,2
142,1
143,2
144,1
145,2
147,1
149,2
152,1
153,1
157,1
160,1
162,1
163,1
169,1
170,1
171,1
173,2
175,1
176,1
177,2
178,1
179,2
183,1
184,1
189,1
190,1
191,2
193,1
194,1
200,1
203,1
206,2
210,1
213,1
216,1
225,1
229,1
231,1
244,1
245,1
247,1
248,1
253,1
256,1
257,1
258,1
265,1
268,1
277,1
330,1
372,2
456,1
