xvalue,counts
1,130912
2,109975
3,74248
4,57733
5,47306
6,39938
7,34399
8,32711
9,30368
10,27464
11,25223
12,22423
13,19745
14,18464
15,16674
16,15277
17,13728
18,12020
19,11105
20,10362
21,9355
22,8481
23,7724
24,7175
25,6562
26,5737
27,5603
28,5102
29,4690
30,4229
31,4099
32,3464
33,3283
34,3056
35,3078
36,2953
37,2806
38,2594
39,2214
40,2061
41,1643
42,1437
43,1300
44,1089
45,1047
46,1057
47,979
48,940
49,865
50,816
51,787
52,793
53,703
54,683
55,616
56,557
57,539
58,596
59,457
60,425
61,431
62,421
63,408
64,373
65,362
66,306
67,353
68,293
69,288
70,291
71,282
72,254
73,294
74,240
75,252
76,237
77,195
78,196
79,198
80,210
81,206
82,185
83,168
84,164
85,184
86,155
87,161
88,153
89,131
90,127
91,160
92,117
93,135
94,138
95,128
96,125
97,101
98,128
99,113
100,133
101,105
102,88
103,94
104,90
105,85
106,105
107,83
108,93
109,83
110,100
111,63
112,85
113,72
114,60
115,61
116,76
117,68
118,73
119,60
120,60
121,72
122,55
123,72
124,45
125,47
126,57
127,44
128,50
129,50
130,55
131,37
132,48
133,39
134,37
135,32
136,49
137,46
138,45
139,44
140,24
141,36
142,24
143,34
144,21
145,31
146,40
147,39
148,22
149,30
150,39
151,37
152,30
153,37
154,24
155,32
156,31
157,32
158,22
159,33
160,19
161,22
162,26
163,23
164,22
165,22
166,17
167,18
168,15
169,11
170,17
171,17
172,11
173,26
174,22
175,26
176,13
177,18
178,9
179,15
180,11
181,11
182,16
183,15
184,16
185,14
186,14
187,14
188,10
189,13
190,17
191,10
192,10
193,19
194,18
195,10
196,11
197,10
198,14
199,9
200,8
201,14
202,16
203,13
204,11
205,13
206,7
207,17
208,9
209,10
210,9
211,15
212,18
213,16
214,11
215,10
216,10
217,11
218,14
219,14
220,14
221,11
222,11
223,10
224,12
225,7
226,6
227,11
228,15
229,13
230,6
231,7
232,5
233,6
234,5
235,8
236,5
237,9
238,7
239,4
240,8
241,3
242,6
243,7
244,5
245,7
246,4
247,5
248,6
249,7
250,4
251,3
252,9
253,7
254,6
255,8
256,5
257,5
258,11
259,5
260,5
261,3
262,3
263,5
264,7
265,1
266,9
267,5
268,8
269,3
