xvalue,counts
0,20315
1,66816
2,69915
3,40381
4,21052
5,12015
6,10599
7,6069
8,3003
9,2362
10,2066
11,2324
12,1856
13,1425
14,1450
15,4493
16,768
17,803
18,789
19,595
20,536
21,451
22,754
23,1956
24,1226
25,571
26,476
27,456
28,241
29,215
30,249
31,183
32,176
33,150
34,150
35,215
36,129
37,115
38,100
39,136
40,78
41,139
42,111
43,71
44,91
45,74
46,85
47,86
48,104
49,98
50,81
51,83
52,43
53,69
54,68
55,47
56,60
57,43
58,47
59,55
60,42
61,42
62,61
63,58
64,67
65,52
66,60
67,36
68,46
69,59
70,33
71,22
72,23
73,23
74,18
75,35
76,31
77,28
78,18
79,51
80,24
81,28
82,16
83,17
84,16
85,14
86,14
87,39
88,20
89,27
90,17
91,12
92,15
93,7
94,30
95,7
96,12
97,12
98,28
99,14
100,11
101,8
102,14
103,14
104,20
105,14
106,2
107,10
108,33
109,8
110,12
111,24
112,6
113,18
114,16
115,9
116,11
117,16
118,10
119,6
120,11
121,3
122,7
123,4
124,5
125,5
126,3
127,6
128,6
129,9
130,4
131,1
132,8
133,1
134,1
135,5
136,5
137,4
138,5
139,4
140,4
141,9
142,4
143,45
144,7
145,13
146,5
147,7
148,13
149,6
150,6
151,2
152,4
153,9
154,6
155,2
156,4
157,3
158,16
159,5
160,3
161,1
162,2
163,1
164,5
165,4
166,1
167,3
168,1
169,7
170,4
171,2
172,1
173,4
174,1
175,3
176,1
177,6
179,5
180,6
181,3
182,2
183,14
184,2
185,31
186,24
187,5
188,7
189,5
190,1
191,7
192,4
193,5
194,3
195,2
196,12
197,4
198,1
199,8
200,6
201,8
202,2
203,4
204,5
205,2
206,2
207,1
208,4
209,6
211,3
212,2
213,4
215,4
217,1
218,1
220,2
221,3
222,1
224,14
225,2
226,5
227,3
228,5
229,2
230,4
231,14
233,15
234,4
235,2
236,1
237,3
238,2
239,2
240,3
241,7
242,4
243,3
244,3
245,1
246,2
247,2
248,2
249,1
251,9
252,1
253,2
254,1
255,3
257,1
258,3
259,3
260,3
261,2
262,1
263,1
264,1
265,1
266,3
267,8
268,4
269,3
270,1
272,2
273,1
274,4
275,2
277,1
278,4
282,2
283,5
286,1
287,1
289,2
290,1
291,1
296,1
300,1
301,1
304,1
305,2
306,4
307,1
308,2
310,1
312,6
313,5
314,1
315,2
316,2
319,1
321,1
323,3
324,1
325,4
326,1
327,1
328,5
330,4
331,3
332,3
333,3
334,1
335,1
336,2
337,1
338,6
339,7
340,3
343,1
344,1
345,2
347,2
348,2
349,3
351,1
352,2
355,1
357,1
360,4
361,2
364,1
367,1
368,2
370,1
372,1
374,1
375,30
376,1
377,1
378,1
379,1
383,1
385,22
386,3
387,2
390,2
391,3
392,1
394,3
396,1
398,1
401,2
402,1
403,1
412,1
413,12
414,1
418,1
421,17
422,1
423,2
424,1
425,2
426,2
427,1
429,1
433,1
434,1
435,1
436,2
440,2
441,1
449,1
451,1
452,7
453,1
456,1
463,2
465,3
468,1
470,1
471,1
473,1
474,1
476,1
480,1
488,1
493,1
495,1
496,1
500,2
503,1
507,2
517,2
520,1
522,1
523,1
524,4
525,2
526,2
528,1
529,1
534,1
535,1
538,1
549,1
551,1
553,6
554,1
577,1
578,2
579,5
580,3
581,1
584,1
585,1
586,2
587,2
588,1
603,1
606,1
613,2
621,1
623,1
626,2
627,1
630,2
635,1
636,2
638,5
639,3
641,2
643,1
645,1
646,2
648,1
649,1
651,1
657,2
659,1
660,2
661,1
662,1
663,1
664,1
665,3
667,2
668,3
669,2
670,2
671,3
672,1
673,2
674,3
675,3
676,2
677,1
678,1
681,2
682,1
684,3
691,1
696,1
699,2
702,2
710,1
711,2
718,1
720,1
728,1
729,1
731,1
733,1
735,2
737,2
741,1
742,1
743,1
751,1
754,1
755,2
760,1
762,5
764,1
769,2
770,1
777,1
778,1
780,1
783,1
785,1
794,1
802,1
809,1
817,1
841,2
843,1
862,2
863,3
864,1
866,1
874,2
876,2
878,1
885,1
893,2
894,1
895,1
897,1
907,1
913,1
929,1
969,1
977,1
1001,1
1010,1
1011,1
1021,4
1025,1
1033,1
1046,1
1047,1
1051,1
1058,1
1066,2
1071,1
1073,2
1077,1
1093,1
1100,1
1106,1
1114,1
1127,1
1136,1
1148,1
1154,1
1156,2
1166,1
1173,1
1174,1
1182,1
1183,1
1186,2
1187,1
1194,4
1195,1
1198,4
1209,1
1215,1
1216,1
1219,1
1220,3
1222,1
1227,1
1234,1
1235,1
1236,1
1238,1
1247,1
1252,1
1320,1
1357,1
1361,1
1402,1
1403,1
1435,1
1576,2
1580,1
1593,2
1613,1
1677,1
1750,1
1760,4
1762,1
1764,1
1768,1
1770,1
1778,1
1802,1
1838,1
1883,2
1884,1
1886,1
1889,1
1899,1
2089,5
2091,1
2092,1
2093,2
2094,6
2153,1
2154,1
2245,2
2291,1
2384,3
2389,1
2415,1
2432,1
2445,1
2470,2
2561,1
2623,2
2633,1
2649,1
2662,1
2667,1
2681,2
2682,1
2953,1
2954,2
2960,1
2973,1
2976,2
2977,1
3098,1
3099,1
3181,1
3225,1
3572,1
3592,1
4906,4
4907,1
6671,1
6693,1
8345,1
8346,11
10244,1
10336,1
13872,1
13936,1
15277,1
18925,1
18935,1
18958,1
18967,1
18970,1
18975,1
19003,1
19377,1
19457,1
21920,1
38606,1
