xvalue,counts
0,172
1,28634
2,42916
3,31033
4,26075
5,37693
6,21949
7,10721
8,9188
9,4754
10,16108
11,3556
12,2833
13,2432
14,2537
15,2312
16,4330
17,2528
18,3041
19,3134
20,3111
21,856
22,911
23,800
24,805
25,727
26,797
27,758
28,1002
29,876
30,787
31,921
32,643
33,664
34,1371
35,1992
36,3132
37,216
38,194
39,204
40,157
41,119
42,113
43,194
44,160
45,162
46,174
47,169
48,220
49,216
50,270
51,170
52,190
53,135
54,111
55,151
56,153
57,90
58,53
59,40
60,329
61,161
62,129
63,77
64,69
65,64
66,48
67,30
68,49
69,54
70,43
71,37
72,39
73,18
74,22
75,35
76,28
77,28
78,24
79,21
80,35
81,21
82,31
83,26
84,27
85,15
86,21
87,12
88,22
89,15
90,10
91,18
92,30
93,13
94,18
95,22
96,25
97,14
98,26
99,34
100,50
101,29
102,7
103,16
104,10
105,13
106,6
107,15
108,6
109,13
110,6
111,9
112,2
113,3
114,2
116,4
119,3
120,7
121,1
122,10
123,1
124,3
125,3
126,4
127,3
128,4
129,2
131,2
132,6
133,4
134,2
136,1
137,1
138,1
139,1
143,6
145,4
146,1
147,4
149,3
150,1
152,1
155,4
156,4
157,6
159,1
160,1
161,2
164,6
165,1
166,3
167,7
172,1
175,1
176,3
179,3
180,1
182,4
184,2
186,1
187,2
189,6
190,1
192,1
193,1
195,1
196,4
197,7
200,3
204,4
210,1
211,5
212,1
215,5
218,2
220,1
221,3
223,1
225,7
231,5
234,5
235,1
236,1
237,1
241,1
243,2
244,2
245,2
247,5
255,1
