xvalue,counts
1,6141
2,18458
3,12979
4,22256
5,22398
6,26420
7,30870
8,27713
9,12603
10,11126
11,12354
12,8267
13,3949
14,3683
15,3132
16,4621
17,2512
18,2484
19,3658
20,3325
21,1573
22,1241
23,1210
24,1138
25,3560
26,1037
27,997
28,737
29,836
30,712
31,1317
32,840
33,1028
34,934
35,1327
36,1564
37,2107
38,1693
39,668
40,632
41,865
42,630
43,1965
44,535
45,506
46,563
47,468
48,469
49,671
50,540
51,1104
52,337
53,326
54,304
55,358
56,287
57,339
58,652
59,298
60,240
61,379
62,240
63,212
64,214
65,160
66,155
67,129
68,145
69,83
70,90
71,108
72,105
73,140
74,84
75,81
76,74
77,74
78,97
79,66
80,87
81,55
82,85
83,97
84,62
85,74
86,68
87,90
88,51
89,50
90,30
91,32
92,46
93,52
94,36
95,37
96,52
97,54
98,51
99,54
100,79
101,70
102,33
103,25
104,35
105,23
106,38
107,31
108,33
109,33
110,20
111,26
112,29
113,29
114,21
115,28
116,17
117,19
118,21
119,20
120,19
121,19
122,19
123,22
124,22
125,23
126,22
127,16
128,22
129,25
130,20
131,14
132,14
133,14
134,17
135,10
136,14
137,4
138,11
139,12
140,17
141,10
142,10
143,9
144,9
145,8
146,11
147,9
148,17
149,11
150,14
151,13
152,17
153,5
154,7
155,5
156,14
157,14
158,14
159,8
160,9
161,8
162,8
163,4
164,6
165,9
166,3
167,6
168,4
169,8
170,3
171,3
172,2
173,11
174,7
175,4
176,5
177,8
178,5
179,3
180,3
181,1
182,4
183,9
184,4
185,3
186,3
187,6
188,2
189,5
190,7
191,2
192,1
193,4
194,6
195,3
196,2
197,8
198,16
199,10
200,8
201,10
202,3
203,15
204,3
205,12
206,4
207,11
208,8
209,4
211,2
212,5
213,10
214,12
215,15
216,20
217,13
218,8
219,4
220,7
221,6
222,11
223,6
224,8
225,8
226,14
227,5
228,9
229,5
230,4
231,4
232,1
233,3
235,4
236,3
237,6
238,3
239,7
240,4
241,5
242,5
243,3
244,1
245,2
246,1
247,2
248,11
249,6
250,2
251,3
252,3
253,5
255,1
256,7
257,3
258,2
259,4
260,2
261,7
262,4
263,4
264,3
265,4
266,3
267,5
268,4
269,3
270,3
271,2
273,4
274,4
275,1
276,3
277,3
278,5
279,1
281,1
282,6
283,1
284,1
285,2
286,1
287,1
288,3
289,3
290,5
291,1
292,1
293,1
294,1
295,2
296,2
297,1
300,3
302,2
306,1
307,2
308,1
309,1
310,1
314,4
316,1
317,1
321,2
322,1
323,2
324,1
327,1
328,2
329,1
331,1
333,1
334,3
335,2
336,3
337,4
338,3
339,2
342,1
343,1
344,3
345,3
346,3
347,3
348,2
349,6
350,1
351,1
353,2
354,5
356,7
357,2
358,1
359,1
360,5
361,2
362,5
363,1
364,2
365,3
366,2
367,3
368,1
369,2
370,2
371,2
372,2
373,2
374,1
375,1
376,1
377,1
378,2
380,1
381,2
382,3
383,2
384,1
387,1
390,1
391,4
392,9
393,5
394,6
395,1
396,2
397,1
398,2
399,2
401,1
403,2
404,2
405,3
406,3
407,4
408,3
409,1
410,3
411,2
