xvalue,counts
1,161832
2,35129
3,21127
4,20733
5,9327
6,15231
7,7596
8,7069
9,5612
10,4371
11,3404
12,2776
13,3175
14,2248
15,1941
16,1422
17,1378
18,1313
19,984
20,782
21,1011
22,543
23,461
24,444
25,420
26,678
27,838
28,301
29,1002
30,472
31,278
32,452
33,789
34,512
35,341
36,733
37,155
38,132
39,458
40,150
41,776
42,100
43,122
44,103
45,439
46,94
47,490
48,87
49,71
50,67
51,63
52,55
53,476
54,57
55,502
56,49
57,513
58,61
59,65
60,140
61,32
62,40
63,29
64,51
65,35
66,30
67,41
68,25
69,45
70,31
71,627
72,42
73,22
74,16
75,24
76,14
77,22
78,16
79,16
80,15
81,20
82,13
83,32
84,19
85,16
86,17
87,38
88,15
89,13
90,27
91,17
92,17
93,24
94,24
95,16
96,9
97,9
98,10
99,30
100,9
101,10
102,13
103,9
104,7
105,7
106,14
107,10
108,7
109,7
110,10
111,5
112,9
113,11
114,9
115,15
116,8
117,2
118,2
119,12
120,10
121,5
122,5
123,3
124,7
125,4
126,8
127,6
129,6
130,3
131,5
132,2
133,4
134,4
135,5
136,2
137,4
138,6
139,12
140,2
141,4
142,3
145,5
146,3
147,3
148,8
149,6
150,3
151,1
152,2
153,1
155,1202
156,155
157,2
158,2
159,3
160,4
161,3
162,2
163,2
165,1
166,10
167,3
168,2
169,2
170,2
171,1
173,10
174,6
175,4
176,3
178,3
179,5
180,2
181,3
182,3
183,3
184,3
185,2
187,3
188,3
189,2
190,4
191,1
192,2
193,3
194,3
198,11
199,2
200,4
201,3
202,3
203,6
204,2
205,4
206,4
207,1
208,3
209,2
210,3
211,3
212,1
213,1
214,4
215,3
218,3
219,4
221,2
223,2
225,2
226,3
227,1
228,1
229,1
230,1
231,2
232,3
233,2
234,1
235,2
238,2
239,1
241,1
242,3
243,6
244,1
247,2
249,4
250,3
251,2
252,4
253,2
254,2
256,1
257,1
258,4
259,1
262,1
263,2
264,1
265,1
267,3
268,1
269,2
270,3
271,2
272,1
273,1
274,1
275,2
278,1
279,2
282,4
283,2
286,1
287,1
288,2
291,1
293,2
294,3
295,2
296,1
297,1
299,1
300,2
303,2
306,1
311,1
312,1
314,2
321,1
322,2
323,2
325,1
336,9
341,1
346,2
347,1
350,1
351,1
357,1
358,1
361,1
365,1
366,1
367,1
371,1
372,1
375,1
378,1
379,1
381,1
382,1
383,1
386,1
388,2
395,2
396,1
398,1
399,1
401,1
402,1
407,1
413,2
415,1
416,1
425,1
428,3
429,1
430,1
434,1
435,1
446,1
452,8
453,2
454,1
458,1
466,2
467,1
469,2
475,1
477,1
484,1
487,1
495,1
497,2
498,2
500,1
501,3
502,1
504,1
514,1
519,1
520,1
524,2
525,2
528,8
529,2
533,3
534,1
535,1
538,1
542,1
545,1
546,1
549,1
552,2
557,2
559,1
560,1
562,1
563,1
582,1
585,3
588,9
590,4
605,1
614,2
615,3
616,1
618,9
619,1
627,1
637,1
642,1
650,1
682,1
687,1
688,1
691,1
692,1
693,1
698,1
700,1
749,1
750,1
752,1
759,1
760,1
783,1
817,9
843,1
864,1
870,1
873,1
879,1
880,7
882,7
884,7
906,1
911,1
934,1
951,1
965,2
1027,1
1032,1
1038,1
1102,1
1145,1
1147,1
1148,1
1186,1
1195,5
1197,2
1199,2
1202,1
1222,1
1224,1
1228,1
1230,2
1233,1
1238,1
1240,1
1269,1
1431,1
1478,1
1555,1
1557,1
1675,1
1736,1
1737,1
1738,1
1894,1
1896,1
1979,1
2108,1
2168,1
2349,1
2647,1
2660,1
3448,1
3564,2
3573,2
3578,2
4282,1
4315,1
7026,1
7622,1
10721,1
