xvalue,counts
0,4
1,4034
2,8479
3,11149
4,14517
5,32265
6,22026
7,30540
8,34066
9,34391
10,35842
11,32197
12,30649
13,29845
14,36054
15,32088
16,36270
17,43860
18,30246
19,23730
20,21325
21,19424
22,18055
23,16477
24,15653
25,14670
26,14511
27,14011
28,13332
29,12408
30,11589
31,11097
32,10960
33,10130
34,9754
35,9211
36,9409
37,8451
38,7838
39,7389
40,6733
41,6237
42,5929
43,5541
44,5193
45,5018
46,4724
47,4486
48,4222
49,3987
50,3862
51,3674
52,3472
53,3413
54,3229
55,3096
56,2931
57,2809
58,2704
59,2662
60,2453
61,2529
62,2317
63,2208
64,2250
65,2035
66,1996
67,1995
68,1906
69,1867
70,1813
71,1781
72,1653
73,1575
74,1515
75,1456
76,1408
77,1406
78,1339
79,1294
80,1282
81,1207
82,1176
83,1162
84,1113
85,1095
86,1029
87,1016
88,1048
89,950
90,917
91,942
92,924
93,909
94,868
95,812
96,742
97,764
98,748
99,761
100,741
101,737
102,702
103,651
104,702
105,595
106,640
107,603
108,594
109,595
110,578
111,552
112,539
113,523
114,505
115,507
116,526
117,480
118,488
119,446
120,473
121,488
122,437
123,440
124,441
125,454
126,444
127,437
128,371
129,406
130,366
131,387
132,369
133,370
134,355
135,347
136,385
137,364
138,359
139,330
140,361
141,331
142,321
143,281
144,302
145,292
146,284
147,276
148,274
149,277
150,292
151,260
152,260
153,244
154,266
155,258
156,223
157,230
158,233
159,250
160,257
161,217
162,219
163,224
164,220
165,241
166,228
167,216
168,204
169,228
170,223
171,190
172,183
173,186
174,185
175,195
176,192
177,201
178,195
179,178
180,169
181,166
182,152
183,166
184,154
185,161
186,158
187,158
188,172
189,156
190,170
191,156
192,157
193,154
194,137
195,161
196,140
197,128
198,139
199,148
200,127
201,135
202,134
203,136
204,121
205,125
206,154
207,130
208,132
209,130
210,127
211,116
212,115
213,130
214,132
215,110
216,96
217,114
218,136
219,106
220,121
221,92
222,78
223,109
224,105
225,103
226,94
227,96
228,93
229,93
230,107
231,95
232,95
233,84
234,94
235,89
236,97
237,103
238,97
239,76
240,80
241,93
242,87
243,72
244,82
245,76
246,76
247,77
248,80
249,63
250,81
251,90
252,60
253,75
254,86
255,57
256,74
257,77
258,65
259,76
260,66
261,68
262,69
263,77
264,71
265,59
266,68
267,70
268,75
269,63
270,69
271,81
272,61
273,61
274,49
275,46
276,50
277,66
278,55
279,58
280,57
281,57
282,43
283,46
284,64
285,57
286,61
287,58
288,55
289,55
290,55
291,41
292,59
293,57
294,59
295,60
296,44
297,48
298,51
299,51
300,52
301,54
302,43
303,51
304,45
305,49
306,37
307,50
308,59
309,43
310,49
311,42
312,47
313,38
314,38
315,47
316,37
317,39
318,42
319,31
320,34
321,51
322,46
323,50
324,39
325,41
326,41
327,54
328,47
329,50
330,34
331,43
332,48
333,26
334,33
335,40
336,48
337,33
338,47
339,36
340,33
341,28
342,33
343,34
344,24
345,36
346,32
347,32
348,39
349,43
350,36
351,41
352,25
353,27
354,27
355,31
356,28
357,30
358,38
359,29
360,27
361,32
362,37
363,35
364,30
365,33
366,35
367,29
368,33
369,32
370,27
371,24
372,34
373,20
374,25
375,19
376,23
377,31
378,35
379,35
380,29
381,24
382,19
383,25
384,39
385,31
386,27
387,34
388,19
389,28
390,20
391,30
392,26
393,33
394,24
395,27
396,24
397,23
398,31
399,22
400,36
401,19
402,15
403,20
404,34
405,18
406,21
407,23
408,17
409,26
410,23
411,25
412,28
413,17
414,34
415,16
416,20
417,31
418,24
419,25
420,21
421,29
422,18
423,18
424,16
425,27
426,24
427,26
428,18
429,26
430,27
431,18
432,22
433,17
434,18
435,13
436,19
437,20
438,15
439,18
440,19
441,20
442,21
443,19
444,19
445,23
446,11
447,20
448,18
449,15
450,16
451,21
452,21
453,14
454,28
455,12
456,23
457,16
458,15
459,22
460,19
461,18
462,24
463,17
464,23
465,17
466,22
467,22
468,17
469,17
470,22
471,20
472,14
473,26
474,20
475,13
476,12
477,18
478,16
479,20
480,18
481,17
482,15
483,18
484,15
485,15
486,27
487,18
488,19
489,19
490,19
491,12
492,8
493,23
494,17
495,13
496,6
497,12
498,10
499,15
500,15
501,12
502,12
503,15
504,11
505,17
506,11
507,13
508,14
509,13
510,8
511,13
512,15
513,13
514,8
515,12
516,18
517,16
518,19
519,15
520,10
521,18
522,12
523,13
524,17
525,16
526,18
527,12
528,19
529,6
530,11
531,10
532,21
533,14
534,12
535,12
536,11
537,17
538,16
539,11
540,11
541,11
542,19
543,17
544,16
545,5
546,12
547,19
548,13
549,11
550,12
551,15
552,12
553,15
554,12
555,5
556,11
557,12
558,12
559,14
560,7
561,16
562,13
563,13
564,7
565,14
566,12
567,5
568,6
569,14
570,10
571,7
572,8
573,9
574,15
575,14
576,9
577,10
578,8
579,11
580,9
581,10
582,15
583,11
584,9
585,8
586,10
587,13
588,8
589,5
590,7
591,8
592,10
593,12
594,10
595,11
596,10
597,4
598,11
599,8
600,7
601,9
602,9
603,8
604,7
605,6
606,11
607,9
608,12
609,4
610,10
611,11
612,14
613,11
614,3
615,6
616,5
617,6
618,11
619,8
620,6
621,10
622,10
623,7
624,11
625,10
626,12
627,12
628,7
629,9
630,11
631,7
632,7
633,2
634,9
635,8
636,7
637,7
638,4
639,7
640,6
641,6
642,11
643,9
644,8
645,8
646,9
647,3
648,6
649,7
650,8
651,11
652,6
653,6
654,6
655,8
656,6
657,10
658,7
659,7
660,10
661,5
662,8
663,8
664,8
665,6
666,11
667,8
668,10
669,5
670,6
671,7
672,5
673,7
674,7
675,7
676,7
677,4
678,9
679,8
680,5
681,6
682,6
683,11
684,8
685,7
686,9
687,6
688,10
689,10
690,7
691,6
692,8
693,7
694,8
695,6
696,6
697,4
698,3
699,5
700,8
701,7
702,1
703,1
704,4
705,9
706,6
707,9
708,5
709,8
710,4
711,6
712,8
713,8
714,9
715,9
716,12
717,3
718,5
719,5
720,2
721,7
722,10
723,8
724,9
725,10
726,9
727,3
728,2
729,4
730,2
731,4
732,9
733,9
734,5
735,8
736,6
737,5
738,6
739,2
740,5
741,5
742,4
