xvalue,counts
0,95
1,163
2,135
3,135
4,149
5,129
6,122
7,95
8,72
9,81
10,62
11,57
12,53
13,45
14,40
15,44
16,33
17,36
18,28
19,31
20,16
21,27
22,24
23,15
24,26
25,10
26,15
27,9
28,9
29,7
30,10
31,8
32,9
33,6
34,5
35,9
36,8
37,9
38,5
39,4
40,3
41,4
42,8
43,2
44,3
45,4
46,4
47,1
48,9
49,3
50,1
51,2
52,5
53,2
54,1
55,2
56,1
57,1
60,2
61,2
62,1
63,1
64,1
65,1
67,3
68,1
69,3
70,2
71,2
72,3
73,2
74,1
75,1
76,1
77,1
78,1
81,1
82,1
83,2
84,1
85,1
86,2
87,1
88,1
89,2
94,1
96,1
98,1
99,1
102,1
104,1
106,1
110,1
113,1
116,1
117,1
121,1
122,1
124,1
136,1
138,1
142,1
148,1
149,1
151,1
157,1
162,1
169,1
171,1
175,1
181,1
190,2
192,2
207,1
231,1
232,1
239,1
246,1
280,1
285,1
295,1
297,1
390,1
418,1
452,1
455,1
