xvalue,counts
1,911
2,2405
3,637
4,629
5,389
6,308
7,227
8,191
9,139
10,127
11,124
12,103
13,97
14,71
15,66
16,47
17,47
18,50
19,46
20,42
21,43
22,31
23,31
24,28
25,30
26,28
27,25
28,22
29,24
30,20
31,14
32,18
33,17
34,18
35,20
36,10
37,9
38,14
39,5
40,8
41,6
42,6
43,8
44,8
45,9
46,8
47,6
48,7
49,9
50,6
51,6
52,1
53,3
54,3
55,3
56,6
57,3
58,7
59,6
60,5
61,7
62,4
63,5
64,4
65,5
66,3
67,2
68,1
69,3
70,3
71,2
72,1
74,3
75,5
76,2
77,2
78,3
79,3
80,2
81,1
82,2
83,1
84,3
85,2
86,2
87,1
88,2
89,1
90,1
91,1
92,1
94,1
96,1
97,1
98,3
99,1
100,1
102,1
103,1
104,3
105,3
108,1
109,1
113,2
115,1
117,1
118,1
119,1
121,1
122,1
123,2
124,1
125,1
127,2
129,2
131,1
132,2
134,1
135,1
136,1
139,1
142,1
151,1
154,1
157,2
158,1
160,1
163,1
164,2
167,1
174,1
175,2
178,2
188,1
190,1
191,1
192,1
193,1
196,1
197,1
198,1
205,1
212,1
214,1
217,1
220,2
222,1
229,1
230,1
232,1
234,1
242,1
246,1
257,1
258,1
262,1
264,1
279,1
285,1
303,1
304,1
306,1
315,1
319,1
322,1
323,1
359,1
365,1
378,2
383,1
460,1
490,1
510,1
530,1
539,1
550,1
554,1
573,1
588,1
610,1
627,1
635,1
758,1
810,1
1007,1
1343,1
1427,1
1764,1
1946,1
2568,1
