xvalue,counts
1,1748
2,3627
3,661
4,667
5,340
6,265
7,159
8,132
9,104
10,74
11,60
12,62
13,44
14,37
15,26
16,22
17,26
18,15
19,21
20,16
21,9
22,12
23,12
24,5
25,9
26,4
27,11
28,8
29,5
30,8
31,4
32,4
33,3
34,4
35,3
36,4
37,6
38,4
40,2
41,2
42,5
43,2
45,3
46,4
47,2
48,3
50,2
51,2
53,3
55,1
57,1
58,2
59,3
64,2
66,1
70,1
71,1
73,1
74,1
76,1
78,2
79,1
82,1
84,1
89,2
90,1
93,1
94,2
95,2
97,1
102,1
110,2
114,1
115,1
119,1
120,1
124,1
126,1
128,1
143,1
157,1
165,1
166,2
177,1
180,1
183,1
184,1
197,1
201,1
207,1
223,1
229,1
259,1
279,1
282,1
291,1
296,1
305,1
318,1
372,1
387,1
398,1
415,1
468,1
497,1
579,1
677,1
696,1
704,1
788,1
834,1
975,1
1891,1
