xvalue,counts
1,3174
2,4125
3,878
4,844
5,421
6,337
7,240
8,179
9,167
10,139
11,89
12,75
13,91
14,72
15,52
16,48
17,38
18,32
19,39
20,28
21,35
22,30
23,17
24,21
25,16
26,28
27,15
28,11
29,21
30,13
31,13
32,6
33,9
34,8
35,12
36,7
37,9
38,9
39,7
40,10
41,3
42,7
43,4
44,10
45,5
46,3
47,6
48,7
49,6
50,4
51,6
52,5
53,3
54,4
55,2
56,2
57,2
58,6
59,1
60,4
61,2
63,1
64,1
65,3
66,3
68,3
69,2
71,3
73,1
74,4
76,4
77,1
78,2
79,1
81,1
82,1
83,1
84,1
85,1
86,1
91,1
92,1
94,1
95,1
96,1
99,2
100,2
101,1
103,2
104,1
105,2
108,1
111,1
112,1
113,4
114,3
115,1
118,1
119,1
121,1
122,3
124,2
126,1
127,2
130,1
131,1
132,1
133,1
135,1
138,1
140,1
141,1
147,2
155,2
179,1
180,1
182,1
187,1
189,1
190,1
194,1
195,1
198,1
205,1
213,1
222,1
243,2
265,1
296,1
303,1
315,1
336,1
347,1
348,1
375,1
456,1
457,1
465,1
469,1
481,1
514,1
597,1
603,1
656,1
715,1
719,1
772,1
819,1
822,1
831,1
971,1
1144,1
1403,1
1425,1
1516,1
2170,1
2839,1
2986,1
